t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.378,504.49,2832.50,1554.79,56.2,PULSE,open,
0.425,633.27,2924.59,1548.17,55.7,PULSE,open,
0.456,621.54,2966.81,1560.43,54.9,PULSE,open,
0.510,638.14,2956.49,1536.82,53.9,PULSE,open,
0.561,647.51,2949.65,1509.39,52.6,PULSE,open,
0.601,652.80,2936.40,1502.28,52.6,PULSE,open,
0.648,675.55,2817.26,1489.88,50.6,PULSE,open,
0.696,655.67,2784.48,1474.27,51.0,PULSE,open,
0.744,683.25,2722.49,1424.89,46.8,PULSE,open,
0.790,619.46,2761.04,1421.06,47.7,PULSE,open,
0.836,697.46,2776.40,1394.46,44.0,PULSE,open,
0.887,664.00,2799.83,1383.07,46.3,PULSE,open,
0.930,717.52,2907.79,1359.22,45.9,PULSE,open,
0.979,709.73,2912.23,1362.15,45.4,PULSE,open,
1.025,730.08,2929.01,1354.96,45.7,PULSE,open,
1.059,736.35,2920.42,1357.30,48.4,PULSE,open,
1.117,744.11,2944.10,1346.83,47.5,PULSE,open,
1.164,761.99,2956.85,1340.90,47.8,PULSE,open,
1.215,762.09,2920.78,1335.67,48.1,PULSE,open,
1.257,791.60,2792.51,1340.81,49.5,PULSE,open,
1.304,792.76,2793.40,1333.74,49.0,PULSE,open,
1.349,817.08,2761.41,1331.46,47.6,PULSE,open,
1.392,820.01,3017.29,1302.79,48.0,PULSE,open,
1.442,855.83,2913.52,1323.78,46.9,PULSE,open,
1.489,852.19,3075.68,1304.71,49.2,PULSE,open,
1.540,873.26,3104.53,1344.00,49.1,PULSE,open,
1.581,884.18,3109.64,1347.19,46.7,PULSE,open,
1.629,899.44,3104.47,1356.45,46.0,PULSE,open,
1.675,913.34,3090.09,1359.81,46.3,PULSE,open,
1.722,918.50,3082.20,1363.84,47.4,PULSE,open,
1.769,940.94,2957.29,1357.52,44.1,PULSE,open,
1.816,937.52,2930.95,1359.94,42.9,PULSE,open,
1.868,962.80,2904.83,1300.08,41.4,PULSE,open,
1.951,989.30,2908.02,1117.84,41.0,PULSE,open,
1.981,981.89,3260.21,1413.60,38.9,PULSE,open,
2.012,905.81,3256.86,1415.79,38.9,PULSE,open,
2.065,999.05,3227.52,1377.39,36.8,PULSE,open,
2.112,908.04,3211.50,1359.61,36.2,PULSE,open,
2.160,1027.02,3196.62,1331.99,35.1,PULSE,open,
2.207,1015.92,3178.53,1303.51,33.7,PULSE,open,
2.252,1033.58,3159.31,1278.67,31.5,PULSE,open,
2.301,1032.68,3147.34,1262.19,30.5,PULSE,open,
2.346,1047.83,3139.97,1251.03,31.8,PULSE,open,
2.393,1041.82,3128.30,1240.00,30.9,PULSE,open,
2.438,1041.86,3108.57,1227.63,27.9,PULSE,open,
2.488,1048.05,3097.27,1214.80,26.9,PULSE,open,
2.534,1027.69,3085.09,1204.06,26.5,PULSE,open,
2.581,1041.47,3071.47,1198.99,28.1,PULSE,open,
2.631,1022.47,3064.17,1190.02,29.4,PULSE,open,
2.673,1036.19,3063.33,1181.86,26.0,PULSE,open,
2.721,1038.00,3067.91,1184.75,28.7,PULSE,open,
2.767,1041.98,3068.76,1184.38,28.1,PULSE,open,
2.816,1034.53,3055.44,1181.86,27.4,PULSE,open,
2.862,1038.02,3079.20,1191.99,28.4,PULSE,open,
2.908,1036.22,3088.56,1186.22,28.4,PULSE,open,
2.957,1040.56,3097.19,1203.16,29.4,PULSE,open,
3.005,1041.50,3111.95,1196.69,28.7,PULSE,open,
3.049,1039.42,3122.81,1204.08,29.5,PULSE,open,
3.088,1048.42,3130.01,1200.62,30.3,PULSE,open,
3.143,1049.09,3129.77,1214.44,29.2,PULSE,open,
3.189,1062.88,3136.37,1209.64,32.7,PULSE,open,
3.233,1043.17,3143.85,1216.97,35.7,PULSE,open,
3.283,1095.77,3149.28,1207.55,40.2,PULSE,open,
3.327,1091.06,3132.90,1189.36,41.7,PULSE,open,
3.375,1122.05,3095.56,1185.82,44.6,PULSE,open,
3.420,1125.31,3070.14,1184.47,48.0,PULSE,open,
3.469,1145.90,3050.06,1181.12,49.0,PULSE,open,
3.517,1157.49,3023.48,1180.78,51.9,PULSE,open,
3.563,1169.53,2995.52,1181.59,55.7,PULSE,open,
3.612,1195.82,2953.10,1182.87,53.1,PULSE,open,
3.655,1197.77,2936.08,1184.66,52.2,PULSE,open,
3.701,1221.10,2914.53,1178.11,51.6,PULSE,open,
3.748,1228.75,2881.32,1149.63,48.1,PULSE,open,
3.797,1252.05,2856.32,1107.22,45.6,PULSE,open,
3.844,1176.52,2829.74,1066.46,43.2,PULSE,open,
3.889,1279.91,2806.52,1040.18,39.7,PULSE,open,
3.940,1270.84,2790.73,1032.23,38.9,PULSE,open,
3.984,1309.46,2764.30,992.87,34.3,PULSE,open,
4.029,1308.46,2738.04,987.27,29.4,PULSE,open,
4.076,1286.31,2727.04,988.14,29.2,PULSE,open,
4.125,1271.97,2707.26,984.63,27.0,PULSE,open,
4.172,1254.80,2688.78,981.38,24.9,PULSE,open,
4.217,1226.82,2682.04,986.48,23.6,REFRACTORY,open,
4.265,1219.32,2671.41,989.46,22.1,REFRACTORY,open,
4.310,1186.46,2656.69,990.88,19.0,REFRACTORY,open,
4.357,1184.02,2653.38,996.81,18.6,REFRACTORY,open,
4.405,1123.34,2658.42,1026.55,14.8,REFRACTORY,open,
4.454,1136.25,2656.32,1030.74,15.2,REFRACTORY,open,
4.503,1085.42,2655.44,1036.17,15.3,REFRACTORY,open,
4.549,1075.68,2652.95,1036.87,14.6,REFRACTORY,open,
4.599,1041.23,2654.67,1043.18,13.5,REFRACTORY,open,
4.642,1012.87,2665.18,1063.70,12.3,REFRACTORY,open,
4.688,982.41,2677.91,1080.88,9.8,REFRACTORY,open,
4.733,977.71,2680.06,1092.56,11.0,REFRACTORY,open,
4.783,954.62,2684.52,1105.03,9.3,REFRACTORY,open,
4.829,942.12,2689.62,1116.52,11.4,REFRACTORY,open,
4.874,924.61,2700.59,1121.11,10.6,REFRACTORY,open,
4.925,910.41,2705.33,1133.94,10.3,REFRACTORY,open,
4.968,894.12,2693.34,1148.32,11.1,REFRACTORY,open,
5.014,881.53,2713.26,1153.78,14.2,REFRACTORY,open,
5.062,866.16,2710.16,1155.27,12.8,REFRACTORY,open,
5.110,846.72,2709.11,1177.01,12.8,REFRACTORY,open,
5.157,831.61,2782.92,1197.57,12.2,REFRACTORY,open,
5.203,809.49,2840.07,1224.67,11.4,REFRACTORY,open,
