t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.448,4741.87,10985.20,10249.22,858.6,PULSE,open,
0.505,5603.67,11484.16,10850.69,848.6,PULSE,open,
0.556,5566.52,12231.74,11757.87,838.7,PULSE,open,
0.605,6415.80,13062.36,12719.02,833.2,PULSE,open,
0.647,6385.95,13522.24,13299.82,827.4,PULSE,open,
0.696,7009.07,14143.97,13961.17,818.3,PULSE,open,
0.748,7190.96,14728.43,14544.25,809.7,PULSE,open,
0.789,7579.70,15342.85,14900.10,802.2,PULSE,open,
0.829,7994.32,15917.79,15286.66,793.7,PULSE,open,
0.872,8037.81,16349.57,15382.60,786.4,PULSE,open,
0.918,8799.68,16934.58,15991.07,778.5,PULSE,open,
0.974,8762.49,16853.02,16578.32,767.8,PULSE,open,
1.017,9544.14,17430.74,17188.87,760.9,PULSE,open,
1.060,9459.22,18722.81,17952.90,749.5,PULSE,open,
1.112,10223.39,19383.46,18378.36,745.7,PULSE,open,
1.156,10204.85,19802.94,18523.62,740.2,PULSE,open,
1.203,10732.79,19954.97,19008.37,734.9,PULSE,open,
1.249,10943.73,19656.91,19414.92,728.5,PULSE,open,
1.303,11313.89,20876.14,19892.98,727.3,PULSE,open,
1.401,12047.83,21776.85,20902.27,715.1,PULSE,open,
1.445,12353.31,21629.62,21222.70,710.7,PULSE,open,
1.477,12287.44,21124.49,21655.07,706.1,PULSE,open,
1.533,13084.57,21463.35,22134.52,699.8,PULSE,open,
1.576,12962.94,22288.79,22551.03,694.9,PULSE,open,
1.620,13662.96,22608.73,22985.55,689.3,PULSE,open,
1.674,13645.05,22878.39,23291.34,682.7,PULSE,open,
1.721,14292.20,23135.85,23571.59,677.8,PULSE,open,
1.768,14325.86,23214.22,23776.17,671.6,PULSE,open,
1.817,14796.19,23301.69,24040.16,662.7,PULSE,open,
1.861,14995.52,23829.91,24227.96,652.0,PULSE,open,
1.900,15122.45,23945.65,24348.54,646.8,PULSE,open,
1.957,15633.24,24132.53,28097.73,637.1,PULSE,open,
1.996,15605.43,24116.64,28347.67,629.4,PULSE,open,
2.046,16301.75,24247.99,28031.14,620.7,PULSE,open,
2.093,16093.28,24608.25,27712.68,613.3,PULSE,open,
2.141,16855.76,24793.60,27426.48,608.2,PULSE,open,
2.187,16721.91,25650.10,27108.99,601.8,PULSE,open,
2.236,17315.78,25379.75,26829.13,596.0,PULSE,open,
2.283,17298.27,25084.42,26535.60,587.9,PULSE,open,
2.329,17744.68,24814.83,26266.54,581.4,PULSE,open,
2.376,17884.23,24515.85,25966.11,575.7,PULSE,open,
2.421,18172.24,24253.06,25701.30,569.6,PULSE,open,
2.467,18458.68,23991.70,25439.83,563.7,PULSE,open,
2.513,18438.19,23732.38,25177.13,556.7,PULSE,open,
2.561,18992.29,23448.44,24894.92,553.3,PULSE,open,
2.608,18801.10,23161.19,24607.98,544.1,PULSE,open,
2.656,19420.59,22905.82,24352.45,539.5,PULSE,open,
2.702,19230.24,22651.78,24098.81,534.8,PULSE,open,
2.748,19737.75,22400.02,23844.68,527.2,PULSE,open,
2.797,19665.52,22123.46,23568.32,522.4,PULSE,open,
2.840,20048.04,21876.82,23318.93,516.0,PULSE,open,
2.889,20157.26,21637.58,23079.35,515.0,PULSE,open,
2.936,20365.93,21376.96,22816.69,512.5,PULSE,open,
2.983,20608.77,21144.83,22584.58,506.9,PULSE,open,
3.030,20693.80,20891.46,22328.99,503.3,PULSE,open,
3.073,21097.21,20672.16,22108.39,500.4,PULSE,open,
3.123,20985.89,20427.42,21864.74,498.2,PULSE,open,
3.167,21557.03,20210.47,21646.86,495.2,PULSE,open,
3.217,21346.55,19994.07,21431.28,492.1,PULSE,open,
3.265,21967.55,19757.29,21194.88,489.1,PULSE,open,
3.309,21790.48,19543.51,20983.77,487.2,PULSE,open,
3.355,22210.08,19332.17,20772.21,484.6,PULSE,open,
3.400,22272.42,19122.71,20561.93,481.6,PULSE,open,
3.449,22504.87,18894.13,20333.46,479.8,PULSE,open,
3.494,22708.13,18690.97,20129.96,476.2,PULSE,open,
3.541,22814.94,18468.95,19908.01,475.1,PULSE,open,
3.589,23166.26,18273.49,19712.15,473.2,PULSE,open,
3.637,23088.70,18060.68,19499.64,473.0,PULSE,open,
3.683,23619.70,17873.74,19311.93,472.3,PULSE,open,
3.729,23358.79,17692.99,19131.33,472.9,PULSE,open,
3.776,24036.34,17499.30,18935.57,473.6,PULSE,open,
3.822,23837.30,17332.40,18767.80,475.0,PULSE,open,
3.870,24352.67,17160.26,18592.47,475.7,PULSE,open,
3.922,24278.70,17011.17,18441.74,476.2,PULSE,open,
3.965,24737.69,16865.36,18293.01,474.0,PULSE,open,
4.008,24897.57,16709.83,18134.72,470.1,PULSE,open,
4.056,24696.87,16568.99,17992.87,463.3,PULSE,open,
4.105,24444.19,16412.72,17834.57,455.2,PULSE,open,
4.152,24231.39,16166.61,17688.41,447.0,PULSE,open,
4.201,23989.50,15580.46,17520.86,434.1,PULSE,open,
4.247,23739.96,15053.88,17347.68,424.4,PULSE,open,
4.292,23529.50,14507.99,17187.06,409.4,PULSE,open,
4.336,23314.11,14095.74,17025.54,401.0,PULSE,open,
4.381,23094.04,13638.18,16857.53,392.0,PULSE,open,
4.432,22845.19,13125.44,16557.36,379.3,PULSE,open,
4.477,22632.10,12640.93,16045.33,367.0,PULSE,open,
4.526,22398.00,12208.34,15585.10,356.2,PULSE,open,
4.573,22165.93,11960.98,15286.89,349.4,PULSE,open,
4.619,21937.53,11622.28,14912.83,342.7,PULSE,open,
4.666,21699.44,11348.04,14596.49,335.6,PULSE,open,
