t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.402,693.50,3028.54,1777.74,107.7,PULSE,open,
0.446,778.72,3024.01,1842.60,107.2,PULSE,open,
0.477,780.23,3019.73,1793.09,107.4,PULSE,open,
0.528,848.11,3008.66,1783.23,105.8,PULSE,open,
0.576,872.22,3009.44,1780.43,106.0,PULSE,open,
0.625,935.79,3007.66,1781.67,105.1,PULSE,open,
0.671,964.11,3021.64,1749.08,103.7,PULSE,open,
0.720,1008.77,3019.90,1745.06,105.4,PULSE,open,
0.765,1054.78,3002.39,1776.62,102.9,PULSE,open,
0.809,1075.08,3005.81,1781.98,101.9,PULSE,open,
0.860,1138.41,3003.89,1776.41,102.7,PULSE,open,
0.903,1073.21,2976.40,1729.07,101.0,PULSE,open,
0.951,1229.73,2907.75,1665.47,97.7,PULSE,open,
0.998,1226.25,2892.74,1661.85,97.2,PULSE,open,
1.049,1298.63,2919.77,1665.58,98.9,PULSE,open,
1.091,1312.27,2926.38,1651.04,98.9,PULSE,open,
1.138,1376.70,2928.00,1650.86,97.8,PULSE,open,
1.187,1395.24,2917.19,1630.53,95.4,PULSE,open,
1.232,1440.84,2923.42,1614.37,93.9,PULSE,open,
1.279,1481.06,2924.90,1583.41,92.2,PULSE,open,
1.326,1506.43,2922.84,1625.30,92.2,PULSE,open,
1.376,1550.41,2893.83,1560.33,87.9,PULSE,open,
1.420,1556.75,2886.58,1546.04,87.1,PULSE,open,
1.467,1641.79,2867.87,1537.50,88.9,PULSE,open,
1.515,1629.03,2864.27,1533.69,88.5,PULSE,open,
1.559,1714.05,2850.47,1505.01,85.6,PULSE,open,
1.607,1707.29,2812.80,1444.96,83.2,PULSE,open,
1.652,1753.90,2830.05,1453.40,82.0,PULSE,open,
1.704,1764.55,2811.22,1422.72,78.8,PULSE,open,
1.749,1801.35,2802.85,1415.60,77.8,PULSE,open,
1.794,1828.62,2819.79,1403.37,77.4,PULSE,open,
1.841,1846.20,2821.71,1398.91,77.4,PULSE,open,
1.886,1878.74,2812.08,1407.18,76.1,PULSE,open,
1.933,1879.12,2812.46,1436.22,75.5,PULSE,open,
1.980,1945.97,3235.80,1889.86,76.5,PULSE,open,
2.029,1893.70,3867.96,2768.69,76.5,PULSE,open,
2.072,1999.08,3854.95,2754.55,75.8,PULSE,open,
2.119,2000.77,3836.90,2740.74,75.7,PULSE,open,
2.167,2049.27,3829.14,2727.61,78.9,PULSE,open,
2.212,2053.27,3818.03,2700.44,75.0,PULSE,open,
2.260,2099.50,3815.85,2685.44,78.0,PULSE,open,
2.306,2112.89,3809.86,2667.79,77.6,PULSE,open,
2.357,2154.77,3810.67,2661.12,79.2,PULSE,open,
2.402,2173.88,3808.99,2647.71,80.1,PULSE,open,
2.447,2196.11,3804.81,2630.50,76.9,PULSE,open,
2.495,2233.74,3807.15,2621.50,79.5,PULSE,open,
2.541,2229.89,3802.62,2611.00,77.8,PULSE,open,
2.588,2302.51,3795.40,2593.73,76.5,PULSE,open,
2.635,2289.64,3793.86,2573.49,75.5,PULSE,open,
2.686,2349.06,3790.39,2559.09,75.9,PULSE,open,
2.732,2346.00,3783.12,2541.04,76.4,PULSE,open,
2.776,2397.16,3776.46,2523.72,74.6,PULSE,open,
2.824,2398.78,3751.70,2485.53,73.2,PULSE,open,
2.869,2438.14,3721.17,2447.36,71.6,PULSE,open,
2.916,2454.71,3703.83,2415.71,69.2,PULSE,open,
2.964,2484.88,3696.47,2385.86,70.6,PULSE,open,
3.014,2507.29,3686.59,2361.94,69.1,PULSE,open,
3.058,2521.03,3685.63,2339.67,68.9,PULSE,open,
3.104,2572.28,3643.82,2274.57,66.1,PULSE,open,
3.152,2558.57,3633.25,2257.12,64.8,PULSE,open,
3.197,2631.94,3619.94,2232.19,66.3,PULSE,open,
3.245,2623.90,3612.83,2213.32,65.9,PULSE,open,
3.291,2675.86,3611.19,2200.90,67.5,PULSE,open,
3.340,2678.10,3604.09,2186.91,66.5,PULSE,open,
3.385,2723.65,3587.41,2169.58,64.8,PULSE,open,
3.430,2730.54,3587.06,2152.85,64.5,PULSE,open,
3.478,2761.03,3575.31,2139.41,63.2,PULSE,open,
3.524,2779.84,3556.42,2112.51,63.0,PULSE,open,
3.570,2794.66,3543.30,2104.60,61.5,PULSE,open,
3.615,2853.29,3534.75,2091.24,64.2,PULSE,open,
3.667,2815.77,3532.28,2088.91,69.0,PULSE,open,
3.712,2908.96,3534.25,2087.62,65.0,PULSE,open,
3.757,2892.22,3541.23,2093.12,63.5,PULSE,open,
3.805,2938.97,3542.44,2076.95,60.8,PULSE,open,
3.849,2932.81,3512.76,2040.85,55.9,PULSE,open,
3.898,2983.85,3513.33,2040.33,56.7,PULSE,open,
