t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.415,302.43,3113.94,1140.36,24.6,IDLE,open,
0.467,329.21,3092.57,1129.01,23.5,IDLE,open,
0.513,277.59,3086.36,1121.00,22.7,IDLE,open,
0.564,339.15,3056.41,1088.40,20.5,IDLE,open,
0.608,238.00,3057.03,1086.35,20.5,IDLE,open,
0.658,348.88,3056.82,1085.18,21.1,IDLE,open,
0.695,350.95,3049.20,1077.21,22.4,IDLE,open,
0.743,357.30,3049.69,1074.15,21.4,IDLE,open,
0.798,356.21,3051.61,1074.44,21.2,IDLE,open,
0.845,363.17,3046.26,1068.78,21.9,IDLE,open,
0.893,367.63,3045.16,1066.81,22.2,IDLE,open,
0.938,369.38,3045.15,1065.42,21.6,IDLE,open,
0.986,373.96,3044.99,1063.84,20.8,IDLE,open,
1.031,366.59,3047.80,1067.88,21.3,IDLE,open,
1.077,380.26,3049.38,1068.58,20.7,IDLE,open,
1.124,294.82,3048.10,1068.79,21.9,IDLE,open,
1.170,393.66,3048.17,1070.74,22.6,IDLE,open,
1.220,313.73,3043.15,1068.81,22.1,IDLE,open,
1.264,401.81,3028.28,1062.26,19.1,IDLE,open,
1.312,385.05,3009.34,1044.55,17.3,IDLE,open,
1.358,410.79,3002.74,1030.93,17.0,IDLE,open,
1.409,407.14,2999.88,1033.32,17.3,IDLE,open,
1.453,411.10,2992.34,1039.21,16.4,IDLE,open,
1.498,414.90,2993.32,1040.58,18.1,IDLE,open,
1.548,384.48,2997.34,1039.54,17.2,IDLE,open,
1.592,413.93,3001.67,1039.96,16.1,IDLE,open,
1.641,350.55,2997.57,1027.44,15.6,IDLE,open,
1.687,363.23,2969.62,1003.92,13.7,IDLE,open,
1.735,314.82,2949.60,983.04,9.8,IDLE,open,
1.779,306.74,2944.44,943.33,9.8,IDLE,open,
1.826,290.24,2941.73,921.41,7.8,IDLE,open,
1.874,317.20,2945.81,908.90,11.4,IDLE,open,
1.920,287.34,2943.00,905.70,11.3,IDLE,open,
1.969,315.29,2939.62,902.36,10.3,IDLE,open,
2.014,268.63,3052.71,966.25,7.0,IDLE,open,
2.065,281.85,3049.41,964.77,7.5,IDLE,open,
2.108,271.00,3063.61,994.19,7.4,IDLE,open,
2.156,264.07,3070.56,1004.60,6.5,IDLE,open,
2.203,262.84,3074.33,1011.81,6.8,IDLE,open,
2.249,248.26,3069.17,1010.14,5.7,IDLE,open,
2.298,250.70,3077.96,1012.21,4.3,IDLE,open,
2.343,238.39,3079.71,1014.42,2.8,IDLE,open,
2.393,249.49,3089.01,1019.21,4.1,IDLE,open,
2.436,237.16,3083.68,1016.73,3.7,IDLE,open,
2.485,245.19,3078.80,1016.25,1.4,IDLE,open,
2.533,238.72,3076.50,1011.32,2.6,IDLE,open,
2.579,246.87,3077.78,1006.56,3.9,IDLE,open,
2.629,240.48,3078.86,1004.46,3.9,IDLE,open,
2.674,241.43,3080.07,1004.14,4.3,IDLE,open,
2.710,244.67,3067.76,1001.69,4.7,IDLE,open,
2.764,234.63,3069.33,1007.41,2.6,IDLE,open,
2.816,242.80,3068.06,1006.51,4.0,IDLE,open,
2.864,233.59,3067.67,998.18,5.0,IDLE,open,
2.910,245.07,3068.09,1000.96,4.8,IDLE,open,
2.960,232.69,3067.98,999.00,4.5,IDLE,open,
3.002,245.85,3070.76,1001.81,5.2,IDLE,open,
3.052,234.32,3078.25,1000.56,6.3,IDLE,open,
3.095,250.35,3106.47,995.95,6.2,IDLE,open,
3.142,244.76,3111.16,988.38,6.0,IDLE,open,
3.252,237.93,3120.37,982.93,6.4,IDLE,open,
3.285,250.05,3124.49,982.10,6.2,IDLE,open,
3.325,254.43,3119.93,975.86,6.7,IDLE,open,
3.378,250.12,3126.29,979.41,6.8,IDLE,open,
3.424,258.57,3124.42,976.69,7.9,IDLE,open,
3.469,251.95,3149.51,969.74,9.3,IDLE,open,
3.517,262.88,3162.46,968.59,10.5,IDLE,open,
3.564,245.15,3182.33,980.60,12.3,IDLE,open,
3.612,267.59,3192.35,984.24,12.8,IDLE,open,
3.661,252.00,3172.12,994.45,10.9,IDLE,open,
3.709,274.07,3164.55,1002.33,11.7,IDLE,open,
3.754,272.34,3159.55,999.83,11.0,IDLE,open,
3.801,277.81,3152.42,1000.49,11.2,IDLE,open,
3.848,278.14,3145.43,993.40,10.5,IDLE,open,
3.895,274.59,3131.97,992.92,8.8,IDLE,open,
3.941,281.98,3133.91,1001.60,8.5,IDLE,open,
3.990,291.68,3129.64,1019.88,8.2,IDLE,open,
4.039,302.76,3129.33,1012.84,10.5,IDLE,open,
4.081,294.00,3131.29,1019.79,9.8,IDLE,open,
4.128,294.79,3128.79,1027.07,8.2,IDLE,open,
4.175,291.98,3124.93,1018.32,9.8,IDLE,open,
4.223,284.64,3123.70,1030.10,10.7,IDLE,open,
4.267,282.47,3125.99,1044.30,9.1,IDLE,open,
4.323,278.86,3127.64,1044.75,8.7,IDLE,open,
4.363,277.68,3118.26,1039.45,9.4,IDLE,open,
4.408,266.90,3120.85,1036.50,9.6,IDLE,open,
4.453,271.68,3127.63,1036.86,10.6,IDLE,open,
4.501,256.03,3133.26,1038.53,10.3,IDLE,open,
4.549,257.59,3133.33,1033.59,10.0,IDLE,open,
4.596,239.39,3134.86,1031.33,9.9,IDLE,open,
4.644,202.35,3112.11,1031.50,5.5,IDLE,open,
4.691,207.06,3113.88,1026.00,7.1,IDLE,open,
4.737,190.15,3115.94,1020.99,6.0,IDLE,open,
4.781,173.10,3113.92,1022.36,4.9,IDLE,open,
4.829,177.71,3113.24,1017.27,5.5,IDLE,open,
4.866,163.30,3103.52,1008.96,7.5,IDLE,open,
4.922,159.45,3111.17,1011.09,6.5,IDLE,open,
4.971,144.80,3110.02,1006.93,5.3,IDLE,open,
5.020,141.91,3110.61,1002.99,5.4,IDLE,open,
5.057,131.74,3116.10,1012.69,3.9,IDLE,open,
5.110,119.37,3113.32,1017.99,2.8,IDLE,open,
5.159,117.89,3117.05,1011.89,4.5,IDLE,open,
5.207,104.11,3118.17,1016.31,5.0,IDLE,open,
5.243,104.80,3119.13,1019.70,5.3,IDLE,open,
5.305,90.12,3124.76,1019.38,5.2,IDLE,open,
5.350,91.63,3128.31,1018.17,4.4,IDLE,open,
5.393,79.04,3126.99,1018.42,3.1,IDLE,open,
5.431,81.08,3144.33,1012.88,4.4,IDLE,open,
5.485,67.70,3152.25,1011.65,4.1,IDLE,open,
5.531,70.62,3167.43,1013.28,4.0,IDLE,open,
5.578,66.64,3181.35,1008.24,6.4,IDLE,open,
5.619,61.31,3176.28,1006.58,6.7,IDLE,open,
5.677,64.18,3175.57,1010.58,5.4,IDLE,open,
5.722,49.85,3173.00,1014.97,3.8,IDLE,open,
5.760,54.62,3171.98,1016.74,4.3,IDLE,open,
5.814,46.18,3161.81,1013.41,4.9,IDLE,open,
5.855,53.37,3184.19,1019.71,7.4,IDLE,open,
5.907,51.03,3185.92,1020.97,7.7,IDLE,open,
5.955,54.29,3191.12,1017.52,9.3,IDLE,open,
