t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.413,469.16,2461.80,892.41,49.5,PULSE,open,
0.468,485.09,2420.37,862.88,47.0,PULSE,open,
0.504,488.03,2347.03,902.76,44.2,PULSE,open,
0.552,517.78,2336.78,890.87,43.0,PULSE,open,
0.596,503.35,2341.24,867.24,41.7,PULSE,open,
0.634,551.42,2387.98,899.26,40.3,PULSE,open,
0.678,545.64,2377.16,801.15,39.5,PULSE,open,
0.735,570.57,2383.12,836.94,33.0,PULSE,open,
0.786,563.06,2386.83,793.74,28.3,PULSE,open,
0.828,478.98,2390.02,712.52,24.4,PULSE,open,
0.877,523.13,2391.63,658.05,21.8,REFRACTORY,open,open
0.923,513.85,2389.79,639.99,22.9,REFRACTORY,open,
0.970,515.76,2355.29,645.79,28.0,REFRACTORY,open,
1.017,522.67,2264.24,717.36,35.8,REFRACTORY,open,
1.062,499.01,2234.75,732.43,41.6,REFRACTORY,open,
1.109,528.64,2222.59,756.80,48.7,REFRACTORY,open,
1.155,575.06,2275.51,795.84,57.4,REFRACTORY,open,
1.203,565.14,2309.09,837.78,66.6,REFRACTORY,open,
1.248,574.12,2336.96,892.54,72.2,REFRACTORY,open,
1.296,613.61,2364.66,920.90,77.1,REFRACTORY,open,
1.342,591.70,2389.37,878.05,81.5,REFRACTORY,open,
1.387,646.08,2423.69,904.98,80.2,REFRACTORY,open,
1.435,664.91,2444.10,887.38,79.1,REFRACTORY,open,
1.481,693.34,2467.81,910.60,77.3,REFRACTORY,open,
1.528,716.14,2439.15,949.57,72.9,REFRACTORY,open,
1.575,687.28,2436.04,1019.05,66.1,REFRACTORY,open,
1.619,721.22,2437.08,952.91,57.0,REFRACTORY,open,
1.669,748.28,2367.78,821.18,48.4,REFRACTORY,open,
1.716,723.88,2336.23,691.57,37.3,REFRACTORY,open,
1.763,558.26,2395.42,655.13,26.4,REFRACTORY,open,
1.809,473.95,2418.53,673.54,17.7,REFRACTORY,open,
1.855,439.92,2446.84,676.58,9.7,REFRACTORY,open,
1.902,437.83,2457.00,678.96,9.3,REFRACTORY,open,
1.952,404.10,2475.33,681.74,14.2,REFRACTORY,open,
1.998,412.00,2523.24,763.10,17.9,REFRACTORY,open,
2.043,384.93,2483.42,770.82,20.9,REFRACTORY,open,
2.092,410.06,2459.05,761.36,22.9,REFRACTORY,open,
2.139,378.74,2437.97,755.49,24.1,REFRACTORY,open,
2.187,407.61,2417.74,740.17,22.4,REFRACTORY,open,
2.233,394.53,2400.01,727.31,14.8,REFRACTORY,open,
2.282,408.65,2382.17,703.67,15.1,REFRACTORY,open,
2.330,404.08,2364.71,682.81,16.6,REFRACTORY,open,
2.373,404.86,2338.48,666.84,17.3,REFRACTORY,open,
2.424,399.29,2317.37,641.97,18.2,REFRACTORY,open,
2.469,359.86,2306.18,622.32,11.3,REFRACTORY,open,
2.518,408.66,2306.40,611.70,4.1,REFRACTORY,open,
2.563,367.58,2304.66,597.77,4.3,IDLE,open,
2.613,381.91,2301.25,583.03,7.2,IDLE,open,
2.658,358.09,2308.84,571.39,6.6,IDLE,open,
2.704,394.70,2308.22,565.18,5.2,IDLE,open,
2.752,352.46,2307.45,561.55,6.1,IDLE,open,
2.788,369.09,2316.62,562.86,8.2,IDLE,open,
2.846,337.42,2253.05,559.41,16.6,IDLE,open,
2.885,337.69,2219.51,569.74,20.5,IDLE,open,
2.940,333.74,2244.06,633.10,27.4,IDLE,open,
2.978,308.14,2294.76,723.92,30.9,IDLE,open,
3.030,338.61,2364.63,863.46,32.7,IDLE,open,
3.081,304.77,2464.65,1003.42,35.6,IDLE,open,
3.118,337.84,2564.11,1152.56,36.5,IDLE,open,
3.174,317.96,2710.00,1271.30,35.3,IDLE,open,
3.256,344.04,2803.15,1219.02,39.7,IDLE,open,
3.288,337.53,2900.96,1205.07,50.1,PULSE,open,
3.324,364.63,2894.47,1194.13,56.4,PULSE,open,
3.378,359.41,2828.70,1144.15,56.2,PULSE,open,
3.425,394.35,2773.59,1099.60,59.4,PULSE,open,
3.472,371.94,2694.41,1052.88,57.4,PULSE,open,
3.521,416.51,2565.70,973.75,53.2,PULSE,open,
3.568,390.97,2487.15,890.33,50.4,PULSE,open,
3.613,423.72,2441.69,847.00,49.5,PULSE,open,
3.659,431.28,2401.46,805.35,52.0,PULSE,open,
3.693,403.16,2376.68,792.52,52.5,PULSE,open,
3.754,454.96,2352.55,760.14,55.7,PULSE,open,
3.800,454.52,2350.04,765.15,56.2,PULSE,open,
3.848,485.59,2345.23,766.86,54.0,PULSE,open,
3.897,457.17,2346.00,765.00,50.9,PULSE,open,
3.928,510.74,2363.16,770.19,50.5,PULSE,open,
3.992,511.03,2346.85,757.10,49.6,PULSE,open,
4.041,573.97,2339.19,741.15,47.4,PULSE,open,
4.083,553.13,2299.25,659.25,40.3,PULSE,open,
4.130,574.55,2291.85,626.45,37.8,PULSE,open,
4.178,556.25,2283.22,587.22,34.1,PULSE,open,
4.238,566.02,2272.73,582.93,32.5,PULSE,open,
4.286,546.11,2271.27,576.11,33.0,PULSE,open,
4.333,557.33,2230.70,572.16,36.9,PULSE,open,
4.379,543.76,2225.56,561.44,36.9,PULSE,open,
4.423,538.21,2217.66,557.25,36.0,PULSE,open,
4.472,519.37,2212.74,545.32,32.2,PULSE,open,
4.518,522.82,2213.23,547.82,33.0,PULSE,open,
4.564,512.26,2209.81,553.18,33.4,PULSE,open,
4.615,503.19,2215.27,543.76,31.1,PULSE,open,
4.661,496.56,2220.18,536.35,29.6,PULSE,open,
4.708,495.23,2230.90,522.17,26.1,PULSE,open,
4.753,482.37,2244.34,520.49,25.5,PULSE,open,
4.803,483.23,2299.15,545.22,26.4,PULSE,open,
4.835,483.22,2354.98,569.90,26.2,PULSE,open,
4.894,482.86,2455.71,622.11,24.6,PULSE,open,
4.941,504.67,2510.01,654.48,24.3,PULSE,open,
4.989,531.12,2532.15,698.19,28.6,PULSE,open,
5.036,587.22,2543.30,703.64,27.1,PULSE,open,
5.071,639.36,2552.35,715.47,25.6,PULSE,open,
5.129,674.83,2558.96,702.06,26.3,PULSE,open,
5.163,672.24,2573.87,715.82,26.6,PULSE,open,
5.220,646.97,2606.91,801.94,30.5,PULSE,open,
5.268,627.45,2805.66,997.29,32.4,PULSE,open,
5.315,588.20,2808.22,1000.88,31.4,PULSE,open,
5.361,591.95,2802.87,995.78,32.7,PULSE,open,
5.407,521.05,2789.36,997.58,34.0,PULSE,open,
5.457,537.60,2789.50,998.46,34.1,PULSE,open,
5.501,478.46,2758.13,982.37,38.2,PULSE,open,
5.551,480.06,2746.64,973.16,39.8,PULSE,open,
5.584,465.56,2732.15,968.28,40.3,PULSE,open,
5.645,432.05,2758.90,948.82,40.5,PULSE,open,
5.693,421.25,2745.54,930.83,38.4,PULSE,open,
5.741,407.34,2726.63,909.87,39.4,PULSE,open,
5.790,405.87,2704.57,889.70,38.5,PULSE,open,
5.835,401.24,2683.86,864.00,38.4,PULSE,open,
5.882,413.29,2664.51,843.19,38.1,PULSE,open,
5.930,415.23,2656.30,792.37,33.1,PULSE,open,
5.977,441.02,2647.28,774.66,32.5,PULSE,open,
6.036,401.25,2645.21,727.11,29.3,PULSE,open,
6.073,393.35,2648.64,694.02,24.2,PULSE,open,
6.118,338.70,2660.27,685.48,22.3,REFRACTORY,open,open
6.161,321.21,2667.50,670.19,19.0,REFRACTORY,open,
6.208,281.19,2672.02,660.42,16.5,REFRACTORY,open,
6.257,283.53,2682.09,656.64,13.8,REFRACTORY,open,
6.305,262.84,2688.31,651.07,12.6,REFRACTORY,open,
6.351,256.59,2689.02,645.48,11.4,REFRACTORY,open,
6.398,253.86,2690.78,638.55,8.3,REFRACTORY,open,
6.447,248.62,2695.00,633.78,7.7,REFRACTORY,open,
6.489,246.15,2700.35,630.43,7.7,REFRACTORY,open,
6.540,237.70,2701.93,626.39,8.3,REFRACTORY,open,
6.588,242.08,2704.95,622.51,8.5,REFRACTORY,open,
6.635,232.41,2705.70,617.73,6.3,REFRACTORY,open,
6.678,243.71,2709.02,612.30,7.2,REFRACTORY,open,
6.728,232.54,2714.80,619.28,8.0,REFRACTORY,open,
6.778,250.98,2723.16,628.42,4.7,REFRACTORY,open,
6.821,246.65,2729.25,640.00,3.8,REFRACTORY,open,
6.869,278.60,2732.73,648.85,4.3,REFRACTORY,open,
6.919,286.80,2735.71,662.27,5.7,REFRACTORY,open,
6.964,321.29,2753.52,682.27,3.8,REFRACTORY,open,
7.015,318.92,2755.12,696.12,4.3,REFRACTORY,open,
7.061,339.04,2752.60,696.36,5.3,REFRACTORY,open,
7.106,341.25,2762.22,705.93,3.6,REFRACTORY,open,
7.151,339.38,2777.82,738.62,2.7,REFRACTORY,open,
7.198,334.85,2821.72,772.17,3.9,REFRACTORY,open,
7.248,451.21,2825.56,778.84,5.4,REFRACTORY,open,
7.294,486.30,2827.84,787.49,5.9,REFRACTORY,open,
7.342,455.14,2858.44,827.62,6.6,REFRACTORY,open,
7.388,451.81,2863.53,845.51,7.5,REFRACTORY,open,
7.437,426.02,2875.60,854.18,8.8,REFRACTORY,open,
7.482,419.78,2939.59,938.85,9.2,REFRACTORY,open,
7.526,404.21,2935.49,948.17,10.1,REFRACTORY,open,
7.576,386.45,2918.89,944.39,11.4,REFRACTORY,open,
7.624,380.10,2916.61,940.89,11.0,REFRACTORY,open,
7.672,363.40,2912.14,936.78,10.7,REFRACTORY,open,
7.718,357.04,2906.32,932.15,9.5,REFRACTORY,open,
7.768,339.76,2902.89,929.45,7.2,REFRACTORY,open,
7.814,333.19,2899.73,924.87,8.6,IDLE,open,
7.858,307.04,2890.81,931.79,6.9,IDLE,open,
7.907,291.49,2883.04,936.87,4.6,IDLE,open,
7.955,274.07,2878.17,931.01,4.3,IDLE,open,
8.000,264.57,2869.71,909.21,5.9,IDLE,open,
8.052,251.65,2866.48,878.88,9.0,IDLE,open,
8.084,241.96,2863.05,863.78,8.7,IDLE,open,
8.138,237.44,2861.07,848.31,8.9,IDLE,open,
8.186,235.08,2764.94,812.75,13.0,IDLE,open,
8.275,236.79,2640.74,802.85,18.8,IDLE,open,
8.322,226.52,2636.73,777.84,14.6,IDLE,open,
8.367,230.67,2632.50,778.78,14.0,IDLE,open,
8.420,227.15,2629.79,775.48,15.7,IDLE,open,
8.464,221.36,2636.17,772.06,13.8,IDLE,open,
8.510,222.31,2632.30,767.55,13.7,IDLE,open,
8.557,217.81,2638.53,772.45,10.7,IDLE,open,
8.602,217.57,2650.77,774.51,10.7,IDLE,open,
8.651,209.70,2657.54,779.33,10.2,IDLE,open,
8.696,209.84,2672.24,790.42,9.7,IDLE,open,
8.746,203.97,2676.18,798.25,8.4,IDLE,open,
8.789,212.01,2677.21,793.88,9.3,IDLE,open,
8.837,201.86,2676.68,790.31,10.1,IDLE,open,
8.883,208.34,2671.63,790.65,10.0,IDLE,open,
8.932,212.25,2675.79,786.22,10.3,IDLE,open,
8.976,218.31,2615.86,789.41,13.0,IDLE,open,
9.024,553.58,2906.30,1124.09,281.9,PULSE,open,
9.072,655.22,3289.34,1510.56,471.7,PULSE,open,
9.121,570.39,1734.45,1399.45,130.3,PULSE,open,
9.164,733.76,1623.64,1382.65,61.3,PULSE,open,
9.210,749.85,1484.05,1431.56,201.9,PULSE,open,
9.259,981.42,1392.79,1562.96,277.6,PULSE,open,
9.306,1007.40,1587.95,1785.17,298.8,PULSE,open,
9.354,1267.92,1827.89,2012.68,317.1,PULSE,open,
9.401,1253.15,2155.89,2125.55,273.6,PULSE,open,
9.447,1410.05,2394.98,2267.98,201.9,PULSE,open,
9.494,1373.45,1699.47,2341.19,140.3,PULSE,open,
9.541,1445.41,1124.96,1880.59,84.1,PULSE,open,
9.590,1419.11,794.90,1408.16,49.6,PULSE,open,
9.635,1401.27,820.10,1160.30,26.5,PULSE,open,
9.682,1424.27,841.51,1043.26,11.0,REFRACTORY,open,
9.730,1353.92,868.54,1033.95,6.5,REFRACTORY,open,
9.778,1431.36,924.81,972.28,7.8,REFRACTORY,open,
9.821,1294.38,841.06,952.65,12.3,REFRACTORY,open,
9.868,1427.76,773.08,1021.44,15.6,REFRACTORY,open,
9.917,1253.05,766.39,1033.95,16.6,REFRACTORY,open,
9.961,1363.12,692.97,1080.29,20.2,REFRACTORY,open,
10.009,1214.99,594.44,1108.79,25.4,REFRACTORY,open,
10.057,1319.27,599.71,1120.92,30.0,REFRACTORY,open,
10.104,1188.74,621.75,1140.99,35.6,REFRACTORY,open,
10.147,1261.71,699.28,1122.52,39.1,REFRACTORY,open,
10.208,1256.50,691.59,1187.42,45.3,REFRACTORY,open,
10.245,1270.46,690.40,1165.23,49.8,REFRACTORY,open,
10.302,1397.63,692.96,1218.29,53.1,REFRACTORY,open,
10.352,1300.90,695.50,1247.80,60.8,REFRACTORY,open,
10.397,1452.83,731.95,1247.68,64.9,REFRACTORY,open,
10.446,1318.86,761.54,1286.85,69.7,REFRACTORY,open,
10.494,1488.76,801.04,1320.38,68.0,REFRACTORY,open,
10.540,1319.77,874.74,1317.72,59.7,REFRACTORY,open,
10.586,1503.82,793.42,1416.67,54.9,REFRACTORY,open,
10.632,1314.97,777.11,1445.23,44.7,REFRACTORY,open,
10.679,1442.67,674.77,1441.58,11.1,REFRACTORY,open,
10.725,1313.44,699.57,1416.99,11.0,REFRACTORY,open,
