t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.949,251.87,2418.96,1420.30,9.1,IDLE,open,
0.996,241.24,2424.47,1367.10,8.1,IDLE,open,
1.030,246.56,2423.35,1426.21,9.0,IDLE,open,
1.082,233.50,2418.02,1400.79,8.4,IDLE,open,
1.124,224.06,2416.44,1388.77,12.5,IDLE,open,
1.172,234.46,2417.41,1362.66,12.5,IDLE,open,
1.217,209.01,2406.04,1357.00,17.1,IDLE,open,
1.263,246.30,2382.72,1359.59,21.5,IDLE,open,
1.310,252.60,2379.13,1340.48,24.2,IDLE,open,
1.357,272.30,2335.66,1335.02,27.0,IDLE,open,
1.411,270.20,2299.16,1355.40,31.4,IDLE,open,
1.451,284.65,2288.14,1308.51,31.7,IDLE,open,
1.498,282.90,2272.76,1336.63,31.6,IDLE,open,
1.545,300.32,2264.12,1329.80,30.5,IDLE,open,
1.593,295.52,2256.16,1299.42,30.3,IDLE,open,
1.640,306.20,2232.75,1272.58,26.8,IDLE,open,
1.687,303.22,2218.20,1245.21,22.5,IDLE,open,
1.740,298.53,2218.10,1225.33,21.3,IDLE,open,
1.780,301.81,2208.81,1204.50,16.6,IDLE,open,
1.826,252.35,2202.34,1101.00,13.2,IDLE,open,
1.873,242.40,2226.72,1047.50,7.6,IDLE,open,
1.921,221.61,2240.11,1023.31,6.5,IDLE,open,
1.966,228.97,2250.12,1012.23,6.8,IDLE,open,
2.013,225.65,2249.46,990.45,7.1,IDLE,open,
2.065,222.89,2234.25,992.52,8.4,IDLE,open,
2.120,220.78,2216.32,995.22,9.7,IDLE,open,
2.174,222.60,2213.30,990.88,10.5,IDLE,open,
2.199,230.22,2199.76,990.85,13.0,IDLE,open,
2.259,224.01,2170.01,1003.43,18.3,IDLE,open,
2.307,236.79,2160.33,1017.12,21.8,IDLE,open,
2.353,232.02,2140.12,1056.42,24.8,IDLE,open,
2.401,256.46,2129.39,1065.87,24.7,IDLE,open,
2.447,240.67,2124.51,1079.48,24.7,IDLE,open,
2.500,267.82,2118.74,1106.35,26.3,IDLE,open,
2.542,251.36,2112.08,1124.87,25.0,IDLE,open,
2.588,284.62,2094.22,1136.31,26.8,IDLE,open,
2.634,273.03,2098.26,1142.21,26.3,IDLE,open,
2.682,292.05,2094.59,1151.94,26.0,IDLE,open,
2.730,289.75,2093.49,1161.32,24.0,IDLE,open,
2.775,290.49,2098.37,1159.35,17.8,IDLE,open,
2.827,271.43,2111.51,1146.32,12.3,IDLE,open,
2.867,260.77,2133.44,1141.59,7.6,IDLE,open,
2.914,255.89,2150.02,1134.67,5.5,IDLE,open,
2.962,248.94,2163.90,1115.61,6.5,IDLE,open,
3.007,265.92,2174.80,1099.50,9.8,IDLE,open,
3.058,239.59,2187.75,1089.64,14.4,IDLE,open,
3.103,274.57,2187.49,1078.99,19.4,IDLE,open,
