t_s,dtw_relaxed,dtw_open,dtw_close,env,fsm,gripper,fired
21.256,549.56,1183.09,2455.10,42.8,PULSE,open,
21.304,807.60,1195.47,2453.79,50.3,PULSE,open,
21.343,682.36,1213.20,2454.23,52.5,PULSE,open,
21.400,802.05,1234.74,2458.78,59.4,PULSE,open,
21.453,1169.43,1725.27,2927.01,392.3,PULSE,open,
21.493,1220.86,2066.06,3253.67,546.7,PULSE,open,
21.537,1279.10,2205.82,3386.88,290.1,PULSE,open,
21.591,1408.33,2386.05,2694.69,234.4,PULSE,open,
21.631,1269.14,1661.71,1374.74,82.9,PULSE,open,
21.671,1438.44,1554.91,1469.60,50.6,PULSE,open,
21.722,1373.73,1615.53,1489.64,110.6,PULSE,open,
21.769,1605.28,1743.11,1616.57,192.2,PULSE,open,
21.818,1638.60,1898.60,1762.17,271.8,PULSE,open,
21.858,1796.77,2021.14,1778.20,281.4,PULSE,open,
21.910,1885.84,2164.00,1923.09,230.8,PULSE,open,
21.959,1919.05,2248.85,2020.53,168.2,PULSE,open,
21.997,2013.11,2273.57,1543.26,124.5,PULSE,open,
22.052,1945.28,1360.49,1177.27,78.0,PULSE,open,
22.098,2022.99,831.42,1075.28,40.7,PULSE,open,
22.147,1889.34,882.86,1095.43,10.6,REFRACTORY,open,
22.186,2027.72,1077.39,971.36,13.0,REFRACTORY,open,
22.238,1871.93,994.63,915.39,32.7,REFRACTORY,open,
22.278,1994.30,998.35,823.03,42.4,REFRACTORY,open,
22.331,1581.82,964.71,804.12,53.4,REFRACTORY,open,
22.380,1952.80,936.96,790.65,59.9,REFRACTORY,open,
22.423,1590.92,802.67,721.73,58.2,REFRACTORY,open,
22.475,1815.97,751.21,695.67,57.3,REFRACTORY,open,
22.514,1706.34,587.84,710.44,55.9,REFRACTORY,open,
22.563,1595.82,572.99,707.21,45.8,REFRACTORY,open,
22.612,1620.43,520.45,823.97,38.3,REFRACTORY,open,
22.657,1427.94,578.74,835.18,35.3,REFRACTORY,open,
22.705,1619.53,756.81,828.06,38.6,REFRACTORY,open,
22.748,1269.81,923.74,901.31,41.7,REFRACTORY,open,
22.800,1658.02,923.86,888.22,48.1,REFRACTORY,open,
22.844,1286.01,959.56,801.63,57.9,REFRACTORY,open,
22.891,1708.24,968.34,854.41,69.8,REFRACTORY,open,
22.940,1372.27,925.57,840.43,76.3,REFRACTORY,open,
22.985,1720.81,940.73,924.82,81.2,REFRACTORY,open,
23.034,1542.17,824.60,924.49,78.4,REFRACTORY,open,
23.080,1706.63,851.90,980.02,68.9,REFRACTORY,open,
23.129,1692.22,799.73,1036.86,59.6,REFRACTORY,open,
23.175,1587.97,774.09,1187.42,37.4,REFRACTORY,open,
23.220,1639.95,823.35,1244.93,22.1,REFRACTORY,open,
23.268,1343.72,1043.23,1255.98,21.2,REFRACTORY,open,
23.313,1715.16,1292.54,1441.05,17.5,REFRACTORY,open,
23.361,1248.84,1406.12,1595.50,12.9,REFRACTORY,open,
23.406,1687.98,2374.99,2645.55,7.6,REFRACTORY,open,
23.458,1251.37,2441.21,2913.98,11.0,REFRACTORY,open,
23.500,1615.23,1882.09,2392.21,32.1,REFRACTORY,open,
23.548,1339.17,1669.87,2144.10,46.8,REFRACTORY,open,
23.596,1519.19,1490.91,1950.80,46.3,REFRACTORY,open,
23.640,1413.87,1439.80,1934.24,40.3,REFRACTORY,open,
23.689,1399.09,1947.38,2636.23,28.2,REFRACTORY,open,
23.735,1510.16,2019.44,3418.37,18.8,REFRACTORY,open,
23.790,1366.52,1877.99,3269.88,6.5,REFRACTORY,open,
23.828,1584.71,1680.27,3093.80,14.7,REFRACTORY,open,
23.875,1156.50,1438.95,2839.45,27.9,REFRACTORY,open,
23.923,1634.77,1232.01,2577.55,44.4,REFRACTORY,open,
23.967,1162.69,1084.99,2409.87,44.7,REFRACTORY,open,
24.017,1638.78,1002.68,2304.59,58.2,REFRACTORY,open,
24.063,1252.44,985.78,2272.58,66.2,REFRACTORY,open,
24.113,1611.00,985.91,2265.46,72.5,REFRACTORY,open,
24.156,1459.97,1060.17,2271.00,66.9,REFRACTORY,open,
24.202,1501.39,1208.33,2435.36,61.1,REFRACTORY,open,
24.250,1507.90,1385.79,2463.28,48.2,REFRACTORY,open,
24.295,1397.74,1382.41,2480.78,34.6,REFRACTORY,open,
24.344,1667.97,1366.97,2501.87,19.5,REFRACTORY,open,
24.389,1303.59,1359.73,2516.80,6.7,REFRACTORY,open,
24.449,1606.10,1349.36,2525.63,7.6,REFRACTORY,open,
24.489,1257.59,1344.53,2540.09,7.2,REFRACTORY,open,
24.529,1679.15,1320.65,2531.34,6.5,REFRACTORY,open,
24.578,1238.37,1327.71,2548.71,10.4,REFRACTORY,open,
24.624,1593.86,1335.26,2574.16,13.8,IDLE,open,
24.673,1284.81,1333.28,2620.54,16.0,IDLE,open,
24.717,1423.83,1322.92,2658.10,20.1,IDLE,open,
24.766,1358.96,1307.32,2613.97,21.9,IDLE,open,
24.811,1317.28,1288.60,2589.13,24.6,IDLE,open,
24.858,1458.79,1245.03,2504.07,28.4,IDLE,open,
24.906,1242.34,1209.07,2462.75,30.9,IDLE,open,
24.951,1582.84,1166.62,2348.48,38.7,IDLE,open,
25.002,1225.68,1131.79,2295.46,51.8,PULSE,open,
25.046,1892.45,1295.34,2444.23,156.3,PULSE,open,
25.095,1794.37,1760.01,2890.91,589.4,PULSE,open,
25.140,2141.16,1952.56,3062.78,305.2,PULSE,open,
25.188,2117.37,2080.11,3152.51,248.1,PULSE,open,
25.237,2126.70,1721.34,1539.81,69.6,PULSE,open,
25.281,2384.70,1901.60,1729.60,55.7,PULSE,open,
25.333,2314.89,2101.28,1916.88,218.6,PULSE,open,
25.378,2809.74,2300.40,2170.73,387.3,PULSE,open,
25.422,2632.79,2492.05,2375.57,474.5,PULSE,open,
25.470,3311.87,2981.78,2937.16,548.4,PULSE,open,
25.516,2932.36,3321.52,3377.34,559.2,PULSE,open,
25.565,3100.88,3557.48,3589.77,504.6,PULSE,open,
25.622,3099.43,3951.81,3995.47,418.5,PULSE,open,
25.664,3211.11,4153.69,4172.45,335.5,PULSE,open,
25.705,3395.15,4442.28,3755.91,270.4,PULSE,open,
25.750,3141.68,4725.61,2943.34,203.3,PULSE,open,
25.804,3422.66,4266.71,2138.86,134.3,PULSE,open,
25.842,3037.54,3665.75,2106.55,105.7,PULSE,open,
25.904,3207.46,2899.32,1569.95,58.1,PULSE,open,
25.988,3080.08,2519.04,1614.20,16.4,REFRACTORY,open,
26.030,2777.13,2312.64,1771.64,6.6,REFRACTORY,open,
26.093,3011.13,2453.95,1519.79,9.3,REFRACTORY,open,
26.132,2658.28,2237.26,1600.82,14.5,REFRACTORY,open,
26.187,2879.00,2112.61,1541.57,17.6,REFRACTORY,open,
26.247,2625.47,2142.39,1272.84,47.6,REFRACTORY,open,
26.285,2952.59,1958.88,1333.82,65.1,REFRACTORY,open,
26.341,2756.31,2073.98,1404.75,99.0,REFRACTORY,open,
26.379,2924.83,2064.50,1119.34,125.6,REFRACTORY,open,
26.437,2917.94,2149.86,1492.14,144.4,REFRACTORY,open,
26.485,3153.43,2248.14,1552.69,166.6,REFRACTORY,open,
26.524,3248.44,2531.00,1324.51,176.0,REFRACTORY,open,
26.561,2944.85,2690.32,1555.27,182.2,REFRACTORY,open,
26.610,3437.21,2800.98,1693.11,190.2,REFRACTORY,open,
26.654,3077.36,2831.18,1901.19,188.9,REFRACTORY,open,
26.702,3559.16,2887.28,2111.20,194.1,REFRACTORY,open,
26.750,3285.75,3009.68,2237.78,197.3,REFRACTORY,open,
26.811,3729.48,3288.07,2273.03,192.0,REFRACTORY,open,
26.850,3446.85,3284.61,2547.44,190.3,REFRACTORY,open,
26.889,3615.47,3327.86,2405.11,184.2,REFRACTORY,open,
26.937,3762.62,3575.49,2416.53,180.8,REFRACTORY,open,
26.990,3668.27,3765.08,2763.72,173.4,REFRACTORY,open,
27.031,3910.18,4293.34,3953.97,168.1,REFRACTORY,open,
27.080,3599.09,4190.91,3817.43,162.4,REFRACTORY,open,
27.137,3900.47,3705.72,3390.41,142.7,REFRACTORY,open,
27.175,3575.94,3660.91,3249.09,126.7,REFRACTORY,open,
27.231,4034.79,3073.78,2961.53,105.4,REFRACTORY,open,
27.270,3628.01,3140.01,3319.87,88.1,REFRACTORY,open,
27.311,4021.66,4148.11,5346.26,67.9,REFRACTORY,open,
27.426,3808.15,3871.90,4571.96,25.2,REFRACTORY,open,
