t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.407,4503.66,11391.18,9251.91,909.5,PULSE,open,
0.454,4898.93,12240.92,10118.24,900.7,PULSE,open,
0.492,5045.67,11836.57,10708.35,895.3,PULSE,open,
0.516,5528.27,13247.59,11155.54,890.4,PULSE,open,
0.574,5747.60,14137.11,12058.00,882.0,PULSE,open,
0.626,6520.31,14998.07,12921.82,872.0,PULSE,open,
0.659,6618.24,15386.57,13316.62,865.6,PULSE,open,
0.711,7033.60,16147.23,14088.40,856.6,PULSE,open,
0.761,7453.50,16741.04,14730.58,848.6,PULSE,open,
0.804,7726.51,16722.45,15255.66,842.4,PULSE,open,
0.850,8297.07,16381.99,15778.64,835.5,PULSE,open,
0.901,8375.35,16708.63,16438.77,825.3,PULSE,open,
0.944,9095.74,17427.85,16724.81,819.0,PULSE,open,
0.987,9036.95,18404.02,17693.38,813.6,PULSE,open,
1.034,9679.37,18546.44,18301.57,806.5,PULSE,open,
1.089,9821.87,18975.49,19026.66,796.8,PULSE,open,
1.123,10228.22,19199.23,19145.71,790.4,PULSE,open,
1.173,10629.03,19656.81,19689.88,783.8,PULSE,open,
1.228,11111.74,20257.85,20392.68,770.0,PULSE,open,
1.272,11380.97,20585.58,20856.05,764.5,PULSE,open,
1.318,11648.80,20502.02,21316.30,757.4,PULSE,open,
1.366,12152.30,20847.00,21771.23,754.2,PULSE,open,
1.404,12077.01,20877.04,22141.49,748.8,PULSE,open,
1.458,12900.88,21134.49,22734.22,740.8,PULSE,open,
1.505,12779.34,21251.23,23174.27,733.0,PULSE,open,
1.545,13430.52,21586.37,23755.74,727.1,PULSE,open,
1.599,13502.58,21732.45,24252.26,718.3,PULSE,open,
1.645,14074.71,21902.47,24742.39,712.6,PULSE,open,
1.693,14209.76,22051.10,25226.30,705.5,PULSE,open,
1.741,14617.22,22121.03,25631.50,699.0,PULSE,open,
1.787,14911.74,22252.85,26098.59,691.2,PULSE,open,
1.834,15163.48,22311.20,26492.21,684.5,PULSE,open,
1.884,15577.71,22430.83,26947.11,677.5,PULSE,open,
1.929,15672.18,22584.91,27330.77,670.4,PULSE,open,
1.977,16258.39,27919.57,30779.95,663.2,PULSE,open,
2.025,16182.10,28915.06,30992.31,656.6,PULSE,open,
2.075,16908.99,28607.00,30684.25,649.7,PULSE,open,
2.118,16757.11,28324.30,30401.55,645.8,PULSE,open,
2.165,17426.19,28047.17,30124.42,640.2,PULSE,open,
2.216,17381.98,27708.19,29785.44,633.4,PULSE,open,
2.258,17991.30,27431.14,29508.39,627.9,PULSE,open,
2.296,18062.51,27215.60,29292.85,623.6,PULSE,open,
2.353,18371.15,26884.34,28961.59,615.1,PULSE,open,
2.403,18649.19,26587.59,28664.84,611.0,PULSE,open,
2.446,18847.69,26324.17,28401.42,608.0,PULSE,open,
2.482,19310.27,26119.02,28196.27,603.7,PULSE,open,
2.543,19377.98,25745.07,27822.32,597.3,PULSE,open,
2.588,19881.95,25514.16,27591.41,592.7,PULSE,open,
2.633,19734.20,25227.14,27304.39,583.6,PULSE,open,
2.680,20437.97,24971.23,27048.48,577.1,PULSE,open,
2.730,20256.84,24688.55,26765.80,571.3,PULSE,open,
2.773,20869.43,24435.99,26513.24,564.0,PULSE,open,
2.820,20846.79,24186.15,26263.40,560.4,PULSE,open,
2.871,21281.42,23907.77,25985.02,554.0,PULSE,open,
2.914,21419.66,23660.83,25738.08,548.9,PULSE,open,
2.961,21624.81,23416.96,25494.21,543.9,PULSE,open,
3.009,21964.33,23001.77,25221.81,537.6,PULSE,open,
3.058,22105.32,22610.08,24952.65,531.3,PULSE,open,
3.103,22526.83,22272.54,24713.81,528.4,PULSE,open,
3.147,22407.26,21938.72,24477.59,522.8,PULSE,open,
3.200,23067.42,21559.00,24216.01,517.7,PULSE,open,
3.243,22851.29,21221.22,23986.27,513.0,PULSE,open,
3.291,23478.91,20896.16,23757.13,506.1,PULSE,open,
3.337,23373.82,20555.56,23505.03,501.0,PULSE,open,
3.387,23926.38,20287.50,23253.05,498.0,PULSE,open,
3.430,23926.63,20010.86,23051.96,493.9,PULSE,open,
3.477,24201.89,19700.15,22802.24,488.4,PULSE,open,
