t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.401,286.83,3102.50,1737.92,9.3,IDLE,open,
0.443,296.72,3077.39,1733.61,9.4,IDLE,open,
0.467,285.93,3080.14,1662.56,7.3,IDLE,open,
0.523,287.84,3079.77,1642.71,4.5,IDLE,open,
0.572,282.74,3082.79,1656.79,3.8,IDLE,open,
0.611,279.38,3125.38,1757.49,3.5,IDLE,open,
0.662,282.64,3138.10,1774.32,3.5,IDLE,open,
0.709,275.80,3151.32,1790.84,2.0,IDLE,open,
0.756,282.30,3092.87,1807.77,3.0,IDLE,open,
0.806,271.21,3082.02,1803.98,2.9,IDLE,open,
0.851,278.15,3095.21,1804.88,4.1,IDLE,open,
0.899,263.59,3061.65,1767.50,5.1,IDLE,open,
0.943,280.02,3058.60,1729.60,6.6,IDLE,open,
0.989,259.05,3052.26,1714.83,7.9,IDLE,open,
1.036,251.09,3039.44,1693.26,10.5,IDLE,open,
1.074,263.44,3040.82,1745.84,9.2,IDLE,open,
1.138,241.22,3026.35,1706.12,10.1,IDLE,open,
1.172,240.53,3077.96,1756.73,10.4,IDLE,open,
1.264,230.04,3015.73,1766.54,11.4,IDLE,open,
1.314,220.35,3002.63,1709.41,15.3,IDLE,open,
1.362,226.37,3007.44,1690.03,12.5,IDLE,open,
1.409,196.31,2988.73,1690.94,12.7,IDLE,open,
1.460,228.65,2975.64,1645.75,12.8,IDLE,open,
1.504,198.24,2969.30,1640.09,12.1,IDLE,open,
1.548,213.20,2966.47,1645.59,11.4,IDLE,open,
1.595,197.77,2961.65,1645.94,11.6,IDLE,open,
1.642,204.74,2957.70,1653.22,11.0,IDLE,open,
1.689,200.94,2955.42,1642.29,12.1,IDLE,open,
1.734,190.33,2957.42,1625.23,12.8,IDLE,open,
1.782,201.93,2959.88,1600.25,13.7,IDLE,open,
1.829,178.68,3023.74,1577.72,12.1,IDLE,open,
1.871,193.05,2950.97,1572.42,12.5,IDLE,open,
1.919,168.12,2928.38,1548.18,10.7,IDLE,open,
2.054,189.93,3112.86,1588.13,12.3,IDLE,open,
