t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.411,364.78,2599.62,2719.40,23.8,IDLE,open,
0.463,376.53,2579.78,2605.36,25.8,IDLE,open,
0.524,384.49,2612.27,2539.60,26.8,IDLE,open,
0.567,393.30,2564.63,2529.85,26.1,IDLE,open,
0.617,397.62,2553.13,2519.62,27.1,IDLE,open,
0.661,410.81,2539.21,2451.57,28.5,IDLE,open,
0.709,407.01,2541.20,2419.71,29.5,IDLE,open,
0.757,433.95,2519.01,2340.19,30.9,IDLE,open,
0.802,438.45,2525.27,2312.03,31.9,IDLE,open,
0.851,463.08,2516.26,2296.01,33.4,IDLE,open,
0.894,463.19,2532.47,2292.33,33.0,IDLE,open,
0.943,477.42,2528.29,2299.38,32.3,IDLE,open,
0.987,486.87,2518.76,2297.98,34.0,IDLE,open,
1.034,500.59,2517.69,2299.88,33.0,IDLE,open,
1.083,509.65,2499.08,2305.55,30.7,IDLE,open,
1.129,513.50,2456.81,2332.66,28.6,IDLE,open,
1.182,523.44,2489.24,2373.64,23.9,IDLE,open,
1.224,463.30,2491.31,2421.69,20.6,IDLE,open,
1.272,445.51,2505.00,2501.94,13.5,IDLE,open,
1.317,412.06,2555.90,2584.52,10.0,IDLE,open,
1.363,409.36,2587.88,2685.25,6.3,IDLE,open,
1.411,398.36,2598.30,2788.29,5.2,IDLE,open,
1.456,386.39,2623.13,2886.66,5.1,IDLE,open,
1.509,389.28,2639.48,2971.12,4.0,IDLE,open,
1.550,369.06,2649.65,3040.28,3.9,IDLE,open,
1.598,377.06,2658.88,3109.92,3.7,IDLE,open,
1.644,352.34,2670.74,3175.19,3.4,IDLE,open,
1.690,371.55,2651.10,3255.09,3.1,IDLE,open,
1.787,352.99,2647.77,3353.78,5.3,IDLE,open,
1.819,363.87,2682.71,3356.28,9.2,IDLE,open,
1.860,351.21,2636.92,3334.98,14.1,IDLE,open,
1.896,353.61,2614.10,3305.14,15.4,IDLE,open,
1.956,346.21,2598.11,3249.01,18.9,IDLE,open,
1.994,356.95,2550.08,3194.99,21.5,IDLE,open,
2.048,328.38,2590.56,2996.61,25.4,IDLE,open,
2.089,359.80,2551.31,2843.74,29.3,IDLE,open,
2.141,337.85,2521.69,2682.04,31.7,IDLE,open,
2.187,364.52,2498.14,2533.28,34.3,IDLE,open,
2.233,345.89,2495.58,2422.90,35.8,IDLE,open,
2.280,368.68,2469.61,2253.57,38.7,IDLE,open,
2.327,358.73,2501.54,2191.58,39.9,IDLE,open,
2.375,360.72,2498.48,2162.27,39.0,IDLE,open,
2.419,360.64,2531.24,2145.67,37.6,IDLE,open,
2.468,354.02,2536.57,2136.10,38.3,IDLE,open,
2.511,380.67,2524.69,2132.58,39.9,IDLE,open,
2.559,349.61,2521.45,2154.04,37.9,IDLE,open,
2.606,391.96,2564.79,2149.24,39.9,IDLE,open,
2.653,362.20,2550.21,2157.43,40.0,PULSE,open,
2.699,401.40,2529.81,2156.26,40.1,PULSE,open,
2.743,375.62,2512.78,2145.90,39.7,PULSE,open,
2.790,393.17,2497.93,2178.44,38.0,PULSE,open,
2.835,385.14,2482.55,2166.19,37.5,PULSE,open,
2.882,384.58,2464.45,2176.57,35.5,PULSE,open,
2.930,386.67,2452.51,2202.81,34.3,PULSE,open,
2.975,367.91,2444.22,2230.03,32.8,PULSE,open,
3.026,395.94,2424.76,2263.33,29.7,PULSE,open,
3.069,363.73,2406.09,2312.28,30.5,PULSE,open,
3.117,397.76,2389.10,2369.55,27.3,PULSE,open,
3.161,366.46,2380.39,2423.80,23.1,REFRACTORY,open,
3.218,397.52,2375.30,2477.35,20.5,REFRACTORY,open,
3.255,380.61,2378.44,2527.92,19.4,REFRACTORY,open,
3.304,388.24,2386.37,2586.21,17.4,REFRACTORY,open,
3.352,363.59,2398.91,2650.09,14.7,REFRACTORY,open,
3.397,367.87,2415.48,2692.75,15.5,REFRACTORY,open,
3.446,357.15,2433.97,2743.72,13.9,REFRACTORY,open,
3.491,344.11,2442.45,2788.01,12.9,REFRACTORY,open,
3.538,347.39,2454.47,2837.69,10.9,REFRACTORY,open,
3.586,331.04,2466.56,2868.98,12.8,REFRACTORY,open,
3.634,340.34,2480.10,2917.67,10.8,REFRACTORY,open,
3.680,321.73,2492.05,2965.63,10.6,REFRACTORY,open,
3.724,348.65,2497.05,3008.74,7.9,REFRACTORY,open,
3.772,330.42,2504.61,3052.95,6.4,REFRACTORY,open,
3.818,346.17,2549.97,3096.24,6.2,REFRACTORY,open,
3.864,333.54,2579.74,3131.25,4.4,REFRACTORY,open,
3.911,335.23,2616.14,3172.24,3.8,REFRACTORY,open,
3.958,343.72,2687.64,3212.94,3.7,REFRACTORY,open,
4.006,348.42,2741.30,3245.78,3.5,REFRACTORY,open,
4.050,361.72,2814.08,3273.20,3.5,REFRACTORY,open,
4.098,355.98,2839.78,3308.56,3.7,REFRACTORY,open,
4.146,353.28,2895.91,3331.96,4.7,REFRACTORY,open,
4.204,349.42,2919.35,3350.76,5.6,REFRACTORY,open,
4.239,344.18,2942.94,3359.93,5.5,REFRACTORY,open,
4.286,340.81,2948.90,3360.25,6.4,REFRACTORY,open,
4.333,332.12,2946.10,3354.85,7.8,REFRACTORY,open,
4.377,336.09,2949.68,3345.23,7.2,REFRACTORY,open,
4.441,346.17,2949.05,3322.50,9.0,REFRACTORY,open,
4.474,347.38,2951.28,3308.21,9.6,REFRACTORY,open,
4.535,340.93,2925.12,3278.63,10.1,REFRACTORY,open,
