t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.431,337.47,2701.99,2916.78,10.8,IDLE,open,
0.486,348.05,2676.37,2847.49,18.9,IDLE,open,
0.523,344.04,2612.78,2722.80,26.3,IDLE,open,
0.565,359.00,2582.74,2682.95,27.2,IDLE,open,
0.621,347.58,2600.40,2670.22,16.4,IDLE,open,
0.669,326.03,2607.05,2724.06,7.3,IDLE,open,
0.708,335.83,2627.87,2786.16,8.7,IDLE,open,
0.760,338.65,2612.86,2824.72,19.3,IDLE,open,
0.808,368.31,2568.80,2777.10,26.6,IDLE,open,
0.852,374.17,2491.11,2485.92,32.8,IDLE,open,
0.899,388.84,2436.79,2261.10,41.4,PULSE,open,
0.944,400.70,2427.78,2150.82,43.1,PULSE,open,
0.994,427.81,2426.85,1956.40,49.2,PULSE,open,
1.038,450.17,2416.46,1942.53,49.4,PULSE,open,
1.086,456.98,2416.15,1929.87,49.8,PULSE,open,
1.132,477.22,2415.23,1865.98,52.0,PULSE,open,
1.177,493.72,2408.20,1822.97,50.5,PULSE,open,
1.226,519.94,2407.08,1752.51,53.6,PULSE,open,
1.272,529.59,2392.22,1741.15,52.9,PULSE,open,
1.321,568.17,2396.66,1705.41,59.2,PULSE,open,
1.365,579.44,2414.45,1782.11,59.4,PULSE,open,
1.414,610.73,2430.99,1734.52,62.1,PULSE,open,
1.462,627.73,2443.27,1646.87,66.0,PULSE,open,
1.506,670.97,2452.95,1618.28,67.2,PULSE,open,
1.554,683.46,2476.29,1524.91,71.9,PULSE,open,
1.598,732.97,2494.55,1424.30,76.9,PULSE,open,
1.648,753.78,2513.03,1322.35,83.6,PULSE,open,
1.691,757.39,2540.46,1307.49,86.2,PULSE,open,
1.739,796.61,2573.27,1230.22,93.2,PULSE,open,
1.787,814.66,2598.55,1254.51,96.0,PULSE,open,
1.830,844.19,2635.07,1240.28,99.2,PULSE,open,
1.893,879.45,2680.71,1230.11,96.7,PULSE,open,
1.937,899.85,2709.97,1256.92,92.9,PULSE,open,
1.985,940.13,2731.64,1267.43,90.2,PULSE,open,
2.029,973.76,2691.12,1296.18,85.0,PULSE,open,
2.078,978.67,2639.16,1341.18,78.3,PULSE,open,
2.124,1017.76,2584.50,1419.20,74.5,PULSE,open,
2.171,1002.75,2521.86,1479.51,68.8,PULSE,open,
2.217,1045.60,2480.40,1533.41,66.4,PULSE,open,
2.320,1064.82,2344.94,1623.09,54.7,PULSE,open,
2.372,1046.78,2308.59,1686.03,53.2,PULSE,open,
2.424,1073.45,2269.86,1745.62,49.6,PULSE,open,
2.464,927.67,2232.02,1821.33,44.9,PULSE,open,
2.510,809.43,2211.68,1930.17,39.3,PULSE,open,
2.559,800.50,2193.55,2071.08,38.6,PULSE,open,
2.604,672.82,2181.82,2144.31,33.5,PULSE,open,
2.653,631.77,2192.61,2222.31,31.1,PULSE,open,
