t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.404,190.60,3118.64,1106.61,13.0,IDLE,open,
0.450,257.67,3093.89,1090.75,12.5,IDLE,open,
0.475,277.55,3119.37,1104.17,12.8,IDLE,open,
0.522,232.85,3119.57,1101.15,14.0,IDLE,open,
0.570,274.96,3119.57,1098.86,14.3,IDLE,open,
0.620,207.75,3119.49,1096.10,15.8,IDLE,open,
0.663,274.19,3105.46,1083.62,17.3,IDLE,open,
0.711,204.14,3110.91,1084.76,15.5,IDLE,open,
0.758,261.57,3119.94,1089.45,14.1,IDLE,open,
0.803,274.25,3119.66,1087.18,15.4,IDLE,open,
0.849,262.86,3082.47,1062.80,16.0,IDLE,open,
0.896,288.69,3072.15,1056.40,14.1,IDLE,open,
0.946,224.39,3054.10,1057.99,11.1,IDLE,open,
0.990,240.90,3099.08,1077.85,10.3,IDLE,open,
1.040,234.55,3098.01,1072.52,14.0,IDLE,open,
1.084,227.66,3095.92,1067.92,12.8,IDLE,open,
1.130,209.15,3093.79,1065.01,13.2,IDLE,open,
1.176,211.18,3073.53,1052.23,12.3,IDLE,open,
1.224,222.26,3069.08,1047.51,12.4,IDLE,open,
1.273,208.89,3054.72,1048.95,9.9,IDLE,open,
1.312,251.68,3074.94,1058.32,11.5,IDLE,open,
1.373,209.78,3062.11,1056.05,13.1,IDLE,open,
1.416,250.77,3063.97,1045.05,13.3,IDLE,open,
1.461,215.17,3055.79,1040.50,11.9,IDLE,open,
1.508,241.06,3024.76,1038.31,11.5,IDLE,open,
1.555,224.14,3024.90,1044.04,11.2,IDLE,open,
1.606,209.72,3069.35,1073.84,9.5,IDLE,open,
1.647,205.64,3074.73,1075.49,9.8,IDLE,open,
1.698,201.83,3075.59,1076.59,9.9,IDLE,open,
1.765,209.61,3034.02,1029.17,12.2,IDLE,open,
1.784,205.12,3053.68,1008.86,12.0,IDLE,open,
1.837,209.49,3070.06,1020.59,11.4,IDLE,open,
1.884,190.02,3065.22,1008.23,9.2,IDLE,open,
1.933,185.37,3067.14,1000.55,9.1,IDLE,open,
1.980,165.79,3072.12,983.73,7.2,IDLE,open,
2.029,189.18,3120.69,966.30,9.9,IDLE,open,
2.073,155.84,3126.32,968.49,9.5,IDLE,open,
2.119,191.99,3127.69,967.86,9.3,IDLE,open,
2.165,157.67,3124.26,972.67,8.1,IDLE,open,
2.212,146.32,3120.93,976.71,6.0,IDLE,open,
2.261,146.44,3119.17,977.59,7.0,IDLE,open,
2.309,147.77,3116.09,990.45,7.0,IDLE,open,
2.357,144.36,3116.02,992.10,8.1,IDLE,open,
2.389,146.73,3098.60,984.07,7.4,IDLE,open,
2.448,153.55,3116.63,983.57,9.3,IDLE,open,
2.494,144.74,3122.06,979.33,8.8,IDLE,open,
2.541,155.56,3115.48,979.22,8.7,IDLE,open,
2.590,147.34,3135.48,976.19,8.0,IDLE,open,
2.625,148.54,3145.04,986.88,8.1,IDLE,open,
2.685,131.70,3138.28,990.14,6.3,IDLE,open,
2.729,138.18,3138.11,993.33,5.6,IDLE,open,
2.777,133.94,3157.85,992.90,7.6,IDLE,open,
2.824,140.20,3149.68,991.50,8.7,IDLE,open,
2.872,131.37,3146.68,1000.56,7.8,IDLE,open,
2.906,135.49,3141.75,990.06,7.0,IDLE,open,
2.968,136.06,3137.19,1003.90,7.1,IDLE,open,
3.016,137.49,3175.98,997.11,9.0,IDLE,open,
3.076,135.77,3169.02,1008.60,7.3,IDLE,open,
3.124,144.32,3169.24,1009.66,7.8,IDLE,open,
3.168,137.65,3159.20,1007.23,6.5,IDLE,open,
3.214,144.43,3154.21,1004.68,8.1,IDLE,open,
3.262,135.10,3150.80,1013.62,7.9,IDLE,open,
3.310,150.00,3182.83,1009.05,10.6,IDLE,open,
3.372,138.38,3165.83,1006.95,6.4,IDLE,open,
3.419,148.68,3164.39,1008.62,7.9,IDLE,open,
3.468,129.16,3170.68,1019.13,7.6,IDLE,open,
3.499,142.62,3176.48,1009.78,7.6,IDLE,open,
3.563,142.34,3171.81,1014.87,8.0,IDLE,open,
3.623,137.11,3152.82,1028.86,5.9,IDLE,open,
3.673,120.84,3163.66,1020.69,5.2,IDLE,open,
3.706,137.63,3172.79,1013.79,6.2,IDLE,open,
3.761,135.56,3190.06,1015.91,5.3,IDLE,open,
3.795,133.07,3188.83,1018.97,5.7,IDLE,open,
3.843,142.83,3191.41,1037.73,6.2,IDLE,open,
3.902,135.15,3179.27,1031.28,5.7,IDLE,open,
3.951,137.69,3177.20,1031.80,5.3,IDLE,open,
3.999,148.25,3190.55,1029.10,6.0,IDLE,open,
4.042,150.76,3185.49,1035.04,5.4,IDLE,open,
4.089,154.30,3183.59,1041.35,6.0,IDLE,open,
4.134,137.00,3179.04,1049.21,5.5,IDLE,open,
4.182,151.23,3178.62,1031.19,7.5,IDLE,open,
4.229,138.76,3193.58,1025.70,9.2,IDLE,open,
4.263,144.26,3189.63,1019.54,8.7,IDLE,open,
4.326,136.17,3196.90,1021.43,7.4,IDLE,open,
4.363,139.20,3194.24,1019.78,7.6,IDLE,open,
4.415,141.93,3195.02,1021.91,7.2,IDLE,open,
4.462,137.74,3195.59,1023.87,7.6,IDLE,open,
4.508,137.16,3183.45,1026.84,6.5,IDLE,open,
4.557,132.55,3182.41,1030.02,6.7,IDLE,open,
4.604,138.66,3183.95,1027.15,8.3,IDLE,open,
4.638,126.82,3188.74,1038.08,7.5,IDLE,open,
4.695,129.32,3194.90,1041.94,6.5,IDLE,open,
4.740,112.48,3200.12,1041.43,5.8,IDLE,open,
4.786,115.31,3181.78,1039.38,5.4,IDLE,open,
4.833,120.08,3178.40,1038.89,6.6,IDLE,open,
4.883,102.90,3172.34,1043.64,4.3,IDLE,open,
4.921,108.98,3171.05,1043.16,5.2,IDLE,open,
4.978,96.68,3166.67,1043.84,3.8,IDLE,open,
5.014,109.29,3169.70,1035.64,5.0,IDLE,open,
5.067,87.04,3167.46,1032.61,5.0,IDLE,open,
5.114,99.01,3164.35,1029.88,4.4,IDLE,open,
5.162,75.80,3163.43,1030.33,3.8,IDLE,open,
5.210,93.75,3164.13,1027.18,6.0,IDLE,open,
5.256,76.72,3169.84,1032.31,5.6,IDLE,open,
5.305,90.00,3171.01,1040.66,5.0,IDLE,open,
5.348,80.74,3181.92,1040.57,6.8,IDLE,open,
5.396,84.88,3178.05,1037.31,6.0,IDLE,open,
5.444,78.66,3174.30,1037.34,5.3,IDLE,open,
5.490,77.31,3176.34,1039.37,6.0,IDLE,open,
5.539,81.41,3175.78,1041.41,6.1,IDLE,open,
5.587,74.84,3176.65,1053.13,9.2,IDLE,open,
5.627,80.15,3166.61,1042.26,8.9,IDLE,open,
5.678,75.05,3169.64,1039.99,9.8,IDLE,open,
5.724,82.66,3169.00,1040.79,8.5,IDLE,open,
5.771,69.43,3174.39,1040.90,8.1,IDLE,open,
5.811,84.91,3184.08,1042.69,10.0,IDLE,open,
5.867,77.22,3153.15,1035.02,15.1,IDLE,open,
5.913,88.12,3147.46,1031.52,16.1,IDLE,open,
5.961,86.90,3126.40,1004.61,14.7,IDLE,open,
6.005,93.90,3125.45,1003.48,13.3,IDLE,open,
6.051,98.70,3113.69,988.69,12.7,IDLE,open,
6.099,93.71,3114.48,984.93,12.8,IDLE,open,
6.146,103.39,3112.66,982.20,13.2,IDLE,open,
6.193,102.47,3112.20,978.62,13.2,IDLE,open,
6.239,109.16,3107.42,980.91,13.3,IDLE,open,
6.287,97.95,3102.44,986.43,12.7,IDLE,open,
6.331,112.10,3109.45,992.40,11.6,IDLE,open,
