t_s,dtw_relaxed,dtw_close,dtw_open
7.896,297.49,2722.18,573.93
7.945,289.02,2729.37,571.56
7.990,283.61,2736.44,572.23
8.039,268.12,2743.68,570.77
8.084,260.36,2770.15,574.18
8.132,246.26,2799.12,578.14
8.173,237.83,2842.22,603.27
8.225,217.47,2889.93,655.98
8.274,211.10,2909.28,656.93
8.320,200.15,2925.24,658.18
8.370,189.08,2930.99,656.57
8.412,189.38,2937.07,653.64
8.461,171.01,2938.20,651.85
8.510,172.04,2970.34,650.46
8.555,158.84,2976.85,649.16
8.604,160.85,2991.76,648.14
8.649,152.23,2991.48,646.07
8.698,149.96,2990.20,640.82
8.741,143.96,2990.26,637.48
8.788,145.18,2989.02,638.11
8.836,144.05,2989.00,642.32
8.881,137.40,2989.37,655.87
8.929,144.27,2982.36,676.81
8.975,139.85,2972.31,709.75
9.024,147.78,2969.83,709.43
9.067,143.30,2967.82,744.48
9.115,152.09,2960.26,741.46
9.165,150.12,2956.79,736.94
9.208,154.39,2954.59,726.00
9.254,150.70,2959.05,717.54
9.298,160.44,2954.36,709.05
9.347,168.86,2953.52,701.42
9.391,172.27,2949.81,690.63
9.439,181.18,2946.32,675.18
9.488,182.25,2948.62,667.55
9.534,191.63,2948.50,663.71
9.581,190.48,2948.15,659.77
9.628,209.14,2950.14,657.05
9.677,486.48,3241.64,947.55
9.722,666.33,3630.83,1332.74
9.768,620.72,3590.86,1573.49
9.818,916.64,3376.01,1782.55
9.863,667.34,1676.73,1759.23
9.911,1070.93,1707.51,1835.90
9.955,830.32,1771.36,1914.05
10.005,1244.53,1832.37,1877.44
10.049,1083.83,1981.46,2024.36
10.096,1365.29,2090.33,2009.38
