t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.408,416.33,2919.59,1140.82,41.8,PULSE,open,
0.457,439.69,2944.93,1145.67,41.8,PULSE,open,
0.483,439.39,2852.60,1093.70,43.4,PULSE,open,
0.520,467.35,2929.77,1135.50,44.6,PULSE,open,
0.570,475.94,2942.76,1141.24,47.1,PULSE,open,
0.613,491.21,2956.56,1147.77,47.0,PULSE,open,
0.660,507.98,2954.71,1147.09,44.3,PULSE,open,
0.710,514.83,2909.63,1128.96,44.8,PULSE,open,
0.752,533.74,2923.92,1134.94,43.8,PULSE,open,
0.798,444.03,2934.27,1137.71,42.6,PULSE,open,
0.845,565.77,2933.23,1134.87,42.4,PULSE,open,
0.895,567.66,2892.27,1110.79,43.5,PULSE,open,
0.938,597.41,2880.81,1105.36,42.4,PULSE,open,
0.984,600.10,2910.92,1115.53,43.3,PULSE,open,
1.035,621.76,2932.36,1128.86,46.2,PULSE,open,
1.080,628.83,2931.73,1131.63,43.7,PULSE,open,
1.128,654.79,2932.66,1132.50,45.2,PULSE,open,
1.172,662.33,2935.34,1136.26,43.8,PULSE,open,
1.223,675.19,2943.47,1143.00,44.6,PULSE,open,
1.267,698.55,2946.30,1147.24,45.4,PULSE,open,
1.313,707.39,2924.49,1141.23,42.8,PULSE,open,
1.363,722.25,2930.34,1146.18,41.8,PULSE,open,
1.406,673.93,2937.22,1152.59,44.1,PULSE,open,
1.453,765.87,2933.14,1153.36,44.6,PULSE,open,
1.501,765.47,2938.01,1150.80,46.1,PULSE,open,
1.552,790.09,2904.91,1160.73,44.3,PULSE,open,
1.595,796.50,2921.55,1164.92,41.8,PULSE,open,
1.640,811.43,2947.19,1174.67,42.1,PULSE,open,
1.691,820.11,2953.25,1182.22,43.5,PULSE,open,
1.735,830.12,2958.38,1191.45,42.0,PULSE,open,
1.782,844.23,2955.76,1200.45,38.3,PULSE,open,
1.827,839.89,2956.39,1197.40,38.2,PULSE,open,
1.879,859.36,2934.48,1184.20,36.4,PULSE,open,
1.923,842.57,2915.72,1161.37,35.1,PULSE,open,
1.969,870.42,2999.66,1119.82,32.4,PULSE,open,
2.020,872.61,3216.94,1425.11,31.0,PULSE,open,
2.063,880.93,3209.77,1409.91,31.4,PULSE,open,
2.109,885.24,3208.90,1401.02,30.9,PULSE,open,
2.155,895.52,3200.65,1388.01,31.0,PULSE,open,
2.205,896.07,3196.40,1382.21,30.0,PULSE,open,
2.249,902.56,3184.79,1373.18,30.6,PULSE,open,
2.296,907.71,3154.37,1358.45,27.5,PULSE,open,
2.347,907.64,3158.14,1356.77,27.6,PULSE,open,
2.393,915.64,3157.01,1358.24,31.6,PULSE,open,
2.436,914.83,3160.31,1364.24,33.4,PULSE,open,
2.484,926.27,3160.24,1367.66,31.6,PULSE,open,
2.536,910.82,3161.09,1369.05,29.9,PULSE,open,
2.579,946.64,3166.12,1369.56,32.6,PULSE,open,
2.626,941.48,3163.96,1369.12,30.7,PULSE,open,
2.678,948.13,3162.25,1373.14,28.1,PULSE,open,
2.721,953.51,3161.34,1375.80,30.3,PULSE,open,
2.767,955.27,3147.84,1374.64,28.2,PULSE,open,
2.813,962.44,3148.57,1379.83,27.8,PULSE,open,
2.864,968.94,3154.37,1387.59,31.2,PULSE,open,
2.906,978.68,3161.42,1395.84,31.1,PULSE,open,
2.955,984.55,3166.97,1405.84,33.3,PULSE,open,
3.003,1000.60,3173.93,1416.43,34.5,PULSE,open,
3.049,1008.84,3172.15,1416.42,33.9,PULSE,open,
3.097,1022.52,3172.74,1418.00,34.7,PULSE,open,
3.143,1022.69,3176.96,1426.17,34.0,PULSE,open,
3.195,1052.12,3183.32,1436.78,36.6,PULSE,open,
3.239,1053.99,3188.47,1439.74,38.2,PULSE,open,
3.285,1073.20,3199.16,1448.61,39.8,PULSE,open,
3.337,1081.95,3212.96,1450.03,37.4,PULSE,open,
3.379,1100.26,3244.69,1452.75,38.7,PULSE,open,
3.427,1104.50,3252.42,1452.28,39.2,PULSE,open,
3.473,1121.04,3268.63,1443.04,36.8,PULSE,open,
3.525,1129.03,3266.12,1411.61,34.4,PULSE,open,
3.567,1139.47,3263.35,1387.26,34.2,PULSE,open,
3.614,1143.83,3261.94,1331.35,31.6,PULSE,open,
3.663,1137.34,3241.88,1283.41,27.4,PULSE,open,
3.706,1170.98,3248.34,1271.66,29.3,PULSE,open,
3.752,1164.67,3248.52,1264.75,26.6,PULSE,open,
3.801,1184.88,3160.21,1184.84,23.1,REFRACTORY,open,
3.850,1176.78,3157.32,1183.46,21.2,REFRACTORY,open,
3.893,1192.59,3145.40,1169.65,22.5,REFRACTORY,open,
3.938,1181.30,3129.16,1145.04,21.2,REFRACTORY,open,
3.988,1211.06,3100.32,1118.16,19.5,REFRACTORY,open,
4.032,1208.04,3080.34,1097.53,17.4,REFRACTORY,open,
4.078,1211.68,3067.16,1078.79,16.2,REFRACTORY,open,
4.125,1173.83,3056.53,1075.75,15.3,REFRACTORY,open,
4.176,1181.58,3028.66,1053.98,15.7,REFRACTORY,open,
4.219,1153.94,3009.60,1045.23,13.5,REFRACTORY,open,
4.265,1146.81,2985.84,1036.14,12.7,REFRACTORY,open,
4.316,1124.71,2979.24,1036.11,12.2,REFRACTORY,open,
4.360,1113.10,2963.61,1025.97,11.6,REFRACTORY,open,
4.407,1095.89,2951.74,1015.30,10.5,REFRACTORY,open,
4.455,1083.59,2945.71,1004.70,12.4,REFRACTORY,open,
4.505,1062.58,2943.87,998.37,13.5,REFRACTORY,open,
4.550,1053.88,2951.44,1005.84,12.3,REFRACTORY,open,
4.596,1052.02,2948.47,1002.47,13.6,REFRACTORY,open,
4.648,1016.82,2947.23,999.06,13.5,REFRACTORY,open,
4.770,988.99,2952.23,1000.81,14.6,REFRACTORY,open,
4.798,988.64,2968.80,1024.81,14.5,REFRACTORY,open,
4.848,958.38,2979.63,1045.44,14.3,REFRACTORY,open,
4.893,965.44,2992.53,1058.44,15.2,REFRACTORY,open,
4.939,938.64,3011.69,1084.23,15.7,REFRACTORY,open,
4.987,934.52,3015.34,1092.18,15.1,REFRACTORY,open,
5.035,917.44,3010.10,1088.35,14.9,REFRACTORY,open,
5.085,903.74,3013.04,1087.18,16.3,REFRACTORY,open,
5.129,892.15,3026.99,1108.58,16.3,REFRACTORY,open,
5.179,873.63,3038.59,1120.14,15.5,REFRACTORY,open,
5.222,861.46,3049.26,1142.68,15.6,REFRACTORY,open,
5.268,847.50,3056.07,1126.91,16.2,REFRACTORY,open,
5.315,829.27,3059.53,1115.87,14.7,REFRACTORY,open,
5.361,816.05,3068.73,1118.14,13.5,REFRACTORY,open,
5.411,817.05,3078.83,1095.37,13.0,REFRACTORY,open,
5.453,793.63,3098.45,1080.24,13.3,REFRACTORY,open,
5.504,786.06,3099.21,1062.14,12.5,REFRACTORY,open,
5.547,755.10,3086.31,1038.52,11.5,IDLE,open,
5.594,722.24,3101.96,1019.71,9.1,IDLE,open,
5.642,697.28,3077.82,1006.99,8.9,IDLE,open,
5.688,688.12,3102.66,995.01,10.3,IDLE,open,
5.738,671.51,3114.80,984.12,11.5,IDLE,open,
5.781,649.51,3133.87,979.23,9.9,IDLE,open,
5.830,653.41,3147.26,975.36,10.1,IDLE,open,
5.874,624.45,3143.53,968.56,8.7,IDLE,open,
5.920,643.27,3158.44,964.82,10.6,IDLE,open,
5.966,594.06,3152.36,967.23,11.4,IDLE,open,
6.014,617.50,3144.44,965.70,11.8,IDLE,open,
6.063,580.07,3141.10,969.92,11.9,IDLE,open,
6.108,589.98,3138.35,968.90,12.2,IDLE,open,
6.158,577.72,3133.20,975.39,11.4,IDLE,open,
6.201,572.35,3137.21,978.84,12.4,IDLE,open,
6.248,564.67,3136.61,984.95,11.0,IDLE,open,
6.295,552.49,3139.10,986.01,9.9,IDLE,open,
6.342,556.79,3142.73,988.83,13.3,IDLE,open,
6.391,534.83,3148.78,990.12,14.2,IDLE,open,
6.434,554.79,3159.40,991.89,14.7,IDLE,open,
6.485,518.58,3163.70,995.27,13.3,IDLE,open,
6.543,528.96,3171.28,987.90,15.8,IDLE,open,
6.595,505.83,3185.61,984.99,15.2,IDLE,open,
6.636,522.30,3182.35,988.70,13.0,IDLE,open,
6.683,483.23,3185.42,978.48,12.9,IDLE,open,
6.731,506.87,3200.92,977.10,12.6,IDLE,open,
6.763,491.27,3187.41,984.30,13.5,IDLE,open,
6.827,463.34,3158.73,969.80,9.9,IDLE,open,
6.886,456.44,3186.64,963.34,11.2,IDLE,open,
6.935,469.45,3188.53,963.30,12.6,IDLE,open,
6.979,451.80,3175.03,969.36,11.9,IDLE,open,
7.031,421.31,3176.29,968.84,11.6,IDLE,open,
7.075,440.78,3186.47,965.46,10.8,IDLE,open,
7.122,420.49,3194.76,971.44,11.5,IDLE,open,
7.185,413.06,3187.35,971.37,14.1,IDLE,open,
7.251,406.90,3188.85,974.90,14.4,IDLE,open,
7.287,395.62,3184.04,971.22,15.6,IDLE,open,
7.325,379.67,3179.48,975.02,15.1,IDLE,open,
7.376,381.22,3178.40,981.77,16.8,IDLE,open,
7.420,362.54,3179.07,987.31,16.6,IDLE,open,
7.471,354.16,3181.15,993.09,15.7,IDLE,open,
7.515,337.35,3182.43,994.75,14.2,IDLE,open,
7.562,341.45,3175.87,997.05,12.1,IDLE,open,
7.608,316.14,3165.25,997.21,11.7,IDLE,open,
7.656,314.12,3158.22,988.17,10.7,IDLE,open,
7.702,303.47,3142.48,978.62,10.6,IDLE,open,
7.749,288.86,3139.66,984.47,11.8,IDLE,open,
7.799,281.14,3143.80,977.02,10.4,IDLE,open,
7.843,271.63,3142.01,973.24,10.3,IDLE,open,
7.891,267.02,3147.72,968.47,11.6,IDLE,open,
7.937,265.49,3150.13,968.91,10.1,IDLE,open,
7.983,233.31,3149.51,965.50,9.5,IDLE,open,
8.033,229.00,3150.17,965.43,8.7,IDLE,open,
8.076,218.09,3147.98,964.91,7.8,IDLE,open,
8.130,225.40,3143.59,971.48,8.9,IDLE,open,
8.170,217.87,3143.85,962.96,9.4,IDLE,open,
8.216,229.68,3134.24,950.91,9.7,IDLE,open,
8.264,184.21,3111.20,950.45,7.2,IDLE,open,
8.310,219.96,3130.97,944.56,8.9,IDLE,open,
8.360,187.71,3140.68,944.01,9.2,IDLE,open,
8.403,206.99,3137.14,946.31,8.2,IDLE,open,
8.468,182.97,3137.21,939.80,9.4,IDLE,open,
8.513,218.78,3125.05,937.67,10.5,IDLE,open,
8.564,194.62,3119.87,938.68,11.2,IDLE,open,
8.606,208.54,3114.25,946.40,12.1,IDLE,open,
8.672,185.55,3129.43,944.03,12.5,IDLE,open,
8.715,219.93,3121.89,943.74,13.4,IDLE,open,
8.764,196.97,3121.61,946.53,12.8,IDLE,open,
8.809,209.93,3115.88,953.99,13.3,IDLE,open,
8.857,196.44,3134.15,954.78,13.3,IDLE,open,
8.907,208.94,3133.46,955.36,11.9,IDLE,open,
8.964,191.86,3128.63,956.15,10.2,IDLE,open,
9.009,189.93,3124.89,973.24,8.6,IDLE,open,
9.055,199.72,3120.87,972.77,8.0,IDLE,open,
9.108,188.58,3118.92,972.27,8.8,IDLE,open,
9.145,170.86,3136.85,966.47,8.8,IDLE,open,
9.195,174.10,3152.94,964.49,7.5,IDLE,open,
9.242,166.74,3163.05,962.90,8.4,IDLE,open,
9.281,173.43,3179.87,955.13,9.4,IDLE,open,
9.339,154.84,3186.15,957.89,7.3,IDLE,open,
9.380,134.79,3176.63,958.06,5.8,IDLE,open,
9.419,143.04,3179.56,967.19,5.7,IDLE,open,
9.476,131.55,3164.46,964.05,7.2,IDLE,open,
9.518,141.85,3160.82,973.59,8.0,IDLE,open,
9.569,126.69,3154.23,972.39,6.9,IDLE,open,
9.609,140.14,3152.04,982.03,7.0,IDLE,open,
9.661,134.08,3148.41,977.53,8.4,IDLE,open,
9.725,158.72,3149.87,971.06,9.5,IDLE,open,
9.753,135.80,3147.38,971.55,10.6,IDLE,open,
9.802,153.73,3149.24,967.31,12.3,IDLE,open,
9.849,146.68,3152.16,972.52,12.9,IDLE,open,
9.894,156.30,3152.77,975.78,14.1,IDLE,open,
9.941,181.20,3146.12,972.65,13.4,IDLE,open,
9.992,157.26,3146.60,983.57,10.9,IDLE,open,
10.035,184.51,3155.98,988.65,12.2,IDLE,open,
10.086,169.81,3158.35,990.91,10.5,IDLE,open,
10.128,182.86,3162.08,989.65,10.1,IDLE,open,
10.176,160.27,3156.66,983.17,9.1,IDLE,open,
10.222,175.09,3162.89,980.52,8.7,IDLE,open,
10.269,158.78,3147.60,976.42,6.3,IDLE,open,
10.318,422.35,3398.50,1205.58,146.8,PULSE,open,
10.365,671.88,3824.96,1628.74,506.2,PULSE,open,
10.418,649.06,4142.33,1914.73,318.7,PULSE,open,
10.455,903.68,3948.06,2078.92,244.9,PULSE,open,
10.505,655.05,2565.67,2113.69,146.4,PULSE,open,
10.551,920.68,1512.02,1267.26,41.1,PULSE,open,
10.600,767.47,1653.02,1386.28,58.3,PULSE,open,
10.649,1039.53,1797.84,1524.33,147.6,PULSE,open,
10.693,988.39,2048.80,1707.42,205.2,PULSE,open,
10.745,1212.33,2246.93,1906.68,233.5,PULSE,open,
10.779,1308.90,2153.16,1774.11,241.6,PULSE,open,
10.835,1278.28,2430.30,2038.21,215.3,PULSE,open,
10.881,1478.14,2342.49,2028.67,172.8,PULSE,open,
10.926,1303.39,1913.84,2094.31,121.8,PULSE,open,
10.975,1569.27,1439.93,2129.31,89.8,PULSE,open,
11.020,1317.46,1209.01,1841.28,66.6,PULSE,open,
11.068,1615.00,1046.63,1667.48,49.6,PULSE,open,
11.111,1375.64,1096.16,1636.38,41.2,PULSE,open,
11.159,1584.37,1151.91,1616.86,36.4,PULSE,open,
11.206,1440.66,1160.49,1620.53,35.4,PULSE,open,
11.252,1549.40,1204.38,1654.59,36.7,PULSE,open,
11.301,1550.93,1083.02,1601.08,35.1,PULSE,open,
11.344,1508.04,1056.68,1585.35,36.6,PULSE,open,
11.395,1592.37,1033.92,1564.77,35.9,PULSE,open,
11.437,1417.29,764.20,1441.26,34.7,PULSE,open,
11.483,1695.09,687.47,1366.97,28.9,PULSE,open,
11.531,1417.52,659.12,1346.99,26.4,PULSE,open,
11.579,1710.92,670.17,1332.27,24.3,PULSE,open,
11.629,1440.08,694.42,1327.66,28.8,PULSE,open,
11.672,1681.99,950.12,1434.80,31.5,PULSE,open,
11.723,1523.78,974.65,1446.27,33.1,PULSE,open,
11.767,1654.25,1078.86,1493.87,32.1,PULSE,open,
