t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.404,7955.84,17256.41,15639.97,1700.7,PULSE,open,
0.462,9001.90,19185.69,17597.73,1682.2,PULSE,open,
0.497,9133.86,18965.81,18534.74,1671.7,PULSE,open,
0.526,10203.48,21091.70,19521.88,1660.5,PULSE,open,
0.580,10589.93,22817.67,21273.57,1644.0,PULSE,open,
0.635,12073.59,24520.32,23001.50,1625.8,PULSE,open,
0.680,12190.43,25538.34,24385.76,1611.0,PULSE,open,
0.725,13213.61,26347.21,25700.24,1594.8,PULSE,open,
0.769,13806.83,27018.23,26908.46,1583.0,PULSE,open,
0.816,14517.93,27837.53,28259.90,1568.0,PULSE,open,
0.853,15421.48,27720.64,28627.79,1556.9,PULSE,open,
0.906,15599.35,29384.29,30419.80,1539.4,PULSE,open,
0.954,16930.76,29815.52,31362.94,1528.4,PULSE,open,
0.993,16782.10,31797.86,32788.26,1514.5,PULSE,open,
1.047,18367.92,32690.01,34175.95,1499.5,PULSE,open,
1.090,18262.23,33343.84,35097.67,1484.5,PULSE,open,
1.143,19584.88,34152.72,36101.37,1471.2,PULSE,open,
1.187,19734.10,34853.65,37154.20,1456.5,PULSE,open,
1.233,20576.00,35545.93,38202.36,1443.0,PULSE,open,
1.274,21211.58,36089.22,39083.59,1430.2,PULSE,open,
1.333,21890.76,37180.11,40539.40,1414.5,PULSE,open,
1.375,22545.13,37744.05,41101.85,1408.1,PULSE,open,
1.422,22850.63,38479.63,42533.00,1389.7,PULSE,open,
1.465,24033.08,39111.65,43708.03,1376.2,PULSE,open,
1.511,23821.39,40049.70,44758.84,1363.8,PULSE,open,
1.557,25348.76,40869.46,45859.35,1350.6,PULSE,open,
1.610,25126.63,41617.31,46946.80,1338.1,PULSE,open,
1.649,26306.22,42142.44,47753.85,1329.1,PULSE,open,
1.702,26484.64,42820.96,48821.29,1317.3,PULSE,open,
1.749,27490.18,43485.13,49875.00,1303.4,PULSE,open,
1.789,27841.03,43880.86,50661.43,1292.7,PULSE,open,
1.846,28642.33,44773.34,51944.98,1276.1,PULSE,open,
1.888,29100.13,45148.42,52696.94,1263.3,PULSE,open,
1.941,29641.10,45887.52,53835.29,1249.9,PULSE,open,
1.980,30433.28,51219.33,56852.03,1242.8,PULSE,open,
2.034,30419.09,55830.16,58735.42,1227.4,PULSE,open,
2.075,31642.54,55311.33,58204.50,1217.5,PULSE,open,
2.129,31509.76,54665.23,57556.38,1205.2,PULSE,open,
2.178,32800.78,54141.49,57032.24,1194.0,PULSE,open,
2.212,32572.71,53736.16,56627.59,1185.0,PULSE,open,
2.272,33813.13,53045.84,55938.16,1171.2,PULSE,open,
2.355,34396.59,52084.69,54977.49,1151.5,PULSE,open,
2.387,35058.93,51749.77,54641.80,1144.8,PULSE,open,
2.417,34787.13,51359.23,54250.99,1135.0,PULSE,open,
2.473,36019.21,50749.75,53643.00,1124.3,PULSE,open,
2.519,35884.45,50256.81,53148.94,1112.3,PULSE,open,
2.568,36664.84,49769.50,52661.68,1103.6,PULSE,open,
2.615,36967.96,49230.86,52124.67,1092.4,PULSE,open,
2.660,37393.04,48751.70,51645.32,1083.0,PULSE,open,
2.708,37960.82,48226.20,51120.28,1074.4,PULSE,open,
2.743,37809.80,47865.30,50758.71,1068.1,PULSE,open,
2.801,39027.64,47294.88,50190.03,1055.2,PULSE,open,
2.848,38820.32,46782.85,49677.52,1044.9,PULSE,open,
2.897,40006.09,46279.96,49175.14,1036.8,PULSE,open,
2.930,39723.03,45980.37,48874.42,1031.6,PULSE,open,
2.988,40870.55,45382.84,48278.72,1019.7,PULSE,open,
3.037,40605.82,44892.10,47787.76,1008.8,PULSE,open,
3.082,41594.39,44456.10,47350.74,999.7,PULSE,open,
3.131,41579.35,43973.25,46868.89,989.8,PULSE,open,
3.179,42269.94,43543.42,46440.35,981.2,PULSE,open,
3.229,42508.76,43023.92,45920.76,970.1,PULSE,open,
3.259,42656.30,42744.64,45641.20,963.8,PULSE,open,
3.304,43662.02,42320.37,45217.77,950.8,PULSE,open,
3.353,43037.87,41902.92,44800.63,943.4,PULSE,open,
3.399,44541.61,41444.21,44342.56,933.1,PULSE,open,
3.449,44162.31,41032.87,43930.09,923.5,PULSE,open,
3.495,45216.22,40580.18,43478.68,914.8,PULSE,open,
3.538,45060.83,40177.36,43075.17,905.2,PULSE,open,
3.588,45834.90,39732.00,42630.31,895.6,PULSE,open,
