t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.479,622.48,2641.21,1008.81,118.4,PULSE,open,
0.531,679.49,2705.93,986.11,122.5,PULSE,open,
0.569,710.26,2689.45,982.98,119.4,PULSE,open,
0.613,759.21,2629.38,966.20,110.4,PULSE,open,
0.662,793.32,2445.43,941.31,94.6,PULSE,open,
0.698,814.45,2352.64,998.23,84.6,PULSE,open,
0.744,850.28,2274.43,1080.22,78.3,PULSE,open,
0.803,874.39,2190.59,1168.23,72.1,PULSE,open,
0.846,908.54,2116.16,1299.08,65.5,PULSE,open,
0.893,921.20,2042.96,1369.42,59.7,PULSE,open,
0.939,940.96,1943.98,1490.55,52.9,PULSE,open,
0.987,952.71,1852.96,1632.43,42.4,PULSE,open,
1.032,822.76,1820.51,1719.98,35.1,PULSE,open,
1.080,704.84,1816.08,1840.35,29.9,PULSE,open,
1.124,593.47,1821.29,2007.67,22.8,REFRACTORY,open,
1.169,544.31,1841.20,2283.11,15.4,REFRACTORY,open,
1.217,532.46,1897.35,2505.24,12.1,REFRACTORY,open,
1.261,533.69,1921.61,2686.52,6.7,REFRACTORY,open,
1.310,526.93,1940.94,2846.67,7.7,REFRACTORY,open,
1.355,518.01,1954.31,2957.05,7.2,REFRACTORY,open,
1.404,515.73,1963.94,3004.79,8.1,REFRACTORY,open,
1.449,491.82,1957.66,3018.94,12.9,REFRACTORY,open,
1.494,474.65,1905.92,3009.34,15.9,REFRACTORY,open,
1.541,474.99,1875.22,3007.07,17.8,REFRACTORY,open,
1.587,479.72,1846.19,3017.25,18.8,REFRACTORY,open,
1.684,470.76,1818.62,2746.45,29.6,REFRACTORY,open,
1.747,482.12,1747.70,2475.58,37.9,REFRACTORY,open,
1.805,478.73,1695.73,2386.17,36.9,REFRACTORY,open,
1.860,465.14,1720.28,2341.27,32.5,REFRACTORY,open,
1.922,481.23,1804.84,2354.25,18.0,REFRACTORY,open,
1.980,465.35,1841.07,2425.65,9.4,REFRACTORY,open,
2.031,486.31,2001.20,2547.63,3.7,REFRACTORY,open,
2.084,457.66,2116.95,2653.66,7.2,REFRACTORY,open,
2.145,456.77,2205.72,2806.12,9.3,REFRACTORY,open,
2.208,453.87,2442.34,3007.01,6.3,REFRACTORY,open,
2.267,439.58,2706.86,3089.35,11.0,REFRACTORY,open,
2.332,419.72,3030.40,3071.23,21.7,REFRACTORY,open,
2.395,430.17,3284.57,3116.54,9.9,REFRACTORY,open,
2.457,420.14,3289.28,3132.64,14.6,REFRACTORY,open,
2.513,424.01,3135.17,3063.85,22.2,REFRACTORY,open,
2.567,404.26,2968.81,2779.52,28.6,REFRACTORY,open,
2.629,407.23,2777.45,2392.98,37.5,REFRACTORY,open,
2.686,411.93,2685.63,2202.83,43.2,REFRACTORY,open,
2.740,426.41,2588.24,1994.74,47.1,REFRACTORY,open,
2.795,430.10,2515.69,1989.63,40.6,REFRACTORY,open,
2.849,430.17,2454.39,2017.45,37.2,REFRACTORY,open,
2.909,425.66,2395.54,2052.45,28.6,REFRACTORY,open,
2.972,426.96,2371.31,2127.28,19.0,REFRACTORY,open,
3.031,456.96,2385.47,2308.73,9.8,REFRACTORY,open,
3.087,443.82,2398.58,2535.83,3.5,REFRACTORY,open,
3.146,455.05,2420.07,2832.61,7.4,REFRACTORY,open,
3.217,455.47,2429.01,2956.81,15.1,REFRACTORY,open,
3.278,453.38,2456.04,2995.18,15.5,REFRACTORY,open,
3.341,462.61,2462.12,2984.26,17.7,IDLE,open,
3.402,462.70,2477.99,3001.34,15.6,IDLE,open,
3.460,446.65,2506.80,3064.30,7.5,IDLE,open,
3.520,470.69,2501.21,3090.98,9.6,IDLE,open,
3.596,471.92,2511.76,3073.07,7.7,IDLE,open,
3.730,442.80,2396.41,2993.57,22.6,IDLE,open,
3.790,437.18,2359.01,2956.76,20.7,IDLE,open,
3.853,455.84,2363.79,3027.85,7.0,IDLE,open,
3.913,445.20,2355.47,3036.54,12.1,IDLE,open,
3.973,435.24,2350.80,3003.97,21.1,IDLE,open,
4.045,484.78,2229.85,2567.49,32.3,IDLE,open,
4.108,537.66,2223.60,2011.78,44.9,PULSE,open,
4.184,622.90,2226.01,1849.81,37.1,PULSE,open,
4.248,816.75,2238.57,1920.33,38.5,PULSE,open,
4.314,825.94,2257.47,1983.35,38.9,PULSE,open,
4.387,779.79,2247.16,2040.38,24.1,PULSE,open,
4.452,763.32,2392.14,2236.07,9.4,REFRACTORY,open,
4.527,683.33,2501.94,2527.84,16.0,REFRACTORY,open,
4.584,652.44,2356.40,2515.62,35.9,REFRACTORY,open,
4.647,570.10,2331.20,2398.86,37.7,REFRACTORY,open,
4.717,526.44,2329.14,2334.58,38.2,REFRACTORY,open,
4.783,510.78,2238.02,2335.55,30.9,REFRACTORY,open,
4.854,444.88,2200.93,2265.41,39.4,REFRACTORY,open,
4.924,474.36,2220.16,1305.62,73.5,REFRACTORY,open,
4.979,474.30,2217.93,1067.82,86.7,REFRACTORY,open,
5.046,453.87,2231.36,1082.99,66.6,REFRACTORY,open,
5.110,462.89,2160.49,1370.21,19.7,REFRACTORY,open,
5.181,443.45,2029.25,1636.23,29.6,REFRACTORY,open,
5.251,428.35,1979.24,1793.01,36.4,REFRACTORY,open,
5.324,471.72,1989.60,2087.84,7.9,REFRACTORY,open,
5.397,453.04,2050.13,2466.87,17.0,REFRACTORY,open,
5.468,441.01,2023.32,2854.82,26.9,REFRACTORY,open,
5.526,474.28,2013.95,2658.54,31.9,REFRACTORY,open,
5.588,462.85,2037.58,2541.40,31.9,REFRACTORY,open,
5.639,469.74,2074.10,2507.99,30.2,REFRACTORY,open,
5.691,465.01,2061.24,2432.11,34.7,REFRACTORY,open,
5.735,461.96,2023.20,2284.50,37.7,REFRACTORY,open,
5.779,438.52,1984.39,2292.73,34.0,REFRACTORY,open,
5.824,436.60,1978.34,2261.11,31.8,REFRACTORY,open,
5.869,404.73,2009.60,2233.80,29.9,REFRACTORY,open,
5.916,417.59,2072.10,2285.52,24.1,REFRACTORY,open,
5.964,379.19,2080.48,2350.58,24.9,REFRACTORY,open,
6.016,406.48,2080.98,2406.95,23.0,REFRACTORY,open,
6.058,394.63,2078.97,2454.57,21.5,REFRACTORY,open,
6.107,403.93,2072.43,2517.99,19.2,REFRACTORY,open,
6.150,430.09,2075.12,2622.56,13.9,REFRACTORY,open,
6.196,408.06,2079.84,2709.14,10.9,REFRACTORY,open,
6.259,445.92,2045.92,2789.62,4.5,REFRACTORY,open,
6.322,426.97,2025.05,2861.11,10.3,REFRACTORY,open,
6.369,405.42,2026.31,2887.70,16.9,REFRACTORY,open,
6.415,396.00,2027.47,2787.53,25.4,REFRACTORY,open,
6.465,425.84,2040.97,2763.53,26.7,REFRACTORY,open,
6.511,388.96,2176.74,2774.31,23.3,REFRACTORY,open,
6.561,429.80,2296.45,2811.48,13.3,REFRACTORY,open,
6.604,398.06,2317.27,2869.69,8.7,REFRACTORY,open,
6.654,408.73,2355.74,2902.28,10.7,REFRACTORY,open,
6.699,376.73,2364.61,2919.71,9.8,REFRACTORY,open,
6.746,363.09,2337.95,2912.06,14.4,REFRACTORY,open,
6.793,326.34,2473.64,2876.65,19.4,IDLE,open,
6.839,316.57,2481.61,2867.82,16.8,IDLE,open,
6.887,312.15,2784.92,2893.31,14.0,IDLE,open,
6.933,281.20,2734.86,2945.53,9.2,IDLE,open,
6.981,305.97,2688.21,3000.76,7.9,IDLE,open,
7.026,283.11,2678.80,3071.77,4.2,IDLE,open,
7.071,327.80,2639.52,3104.51,3.9,IDLE,open,
7.133,300.23,2643.47,3126.70,3.6,IDLE,open,
7.180,337.58,2651.72,3157.35,3.5,IDLE,open,
7.243,309.08,2606.49,3197.97,3.4,IDLE,open,
7.278,328.91,2628.35,3234.52,5.4,IDLE,open,
7.337,302.18,2643.85,3293.23,5.5,IDLE,open,
7.386,320.90,2811.27,3330.61,5.4,IDLE,open,
7.433,285.99,2857.77,3347.47,5.3,IDLE,open,
7.480,294.92,2877.77,3350.23,9.6,IDLE,open,
7.525,267.38,2800.14,3301.45,17.8,IDLE,open,
7.572,286.97,2788.68,3264.38,14.0,IDLE,open,
7.606,299.16,2783.50,3249.56,10.3,IDLE,open,
7.663,301.61,2766.53,3223.34,8.7,IDLE,open,
7.698,302.26,2775.35,3208.98,9.6,IDLE,open,
7.760,295.39,2733.01,3178.31,8.8,IDLE,open,
7.794,294.30,2741.51,3169.81,9.0,IDLE,open,
7.852,271.23,2720.16,3162.55,6.9,IDLE,open,
7.890,309.81,2718.65,3147.87,10.5,IDLE,open,
7.946,303.57,2716.91,3135.76,7.7,IDLE,open,
7.983,345.02,2701.30,3140.70,7.0,IDLE,open,
8.038,342.50,2698.12,3193.94,4.5,IDLE,open,
8.073,360.56,2685.88,3213.56,7.4,IDLE,open,
8.132,303.86,2638.71,3202.62,13.6,IDLE,open,
8.168,313.20,2611.95,3182.20,15.4,IDLE,open,
8.223,288.29,2607.19,3168.60,12.6,IDLE,open,
8.271,292.33,2619.05,3155.93,12.4,IDLE,open,
8.306,264.49,2656.50,3162.29,6.2,IDLE,open,
8.352,272.59,2751.81,3175.44,3.4,IDLE,open,
8.416,254.08,2754.14,3199.27,6.1,IDLE,open,
8.464,262.31,2748.19,3191.89,10.2,IDLE,open,
8.496,266.52,2751.80,3180.94,10.6,IDLE,open,
8.551,314.02,2738.58,3167.02,7.9,IDLE,open,
8.601,329.81,2748.73,3167.69,8.7,IDLE,open,
8.725,451.67,3039.09,1996.18,236.8,PULSE,open,
8.775,607.77,1459.59,806.23,63.5,PULSE,open,
8.810,655.36,1520.08,837.98,102.2,PULSE,open,
8.863,655.55,1544.27,667.58,122.7,PULSE,open,
8.907,779.86,1844.55,628.26,125.5,PULSE,open,
8.953,637.76,1956.46,586.90,109.5,PULSE,open,
9.000,749.53,1425.39,528.07,66.8,PULSE,open,
9.049,574.35,1312.41,651.67,26.7,PULSE,open,
9.095,713.69,1275.52,866.34,5.8,REFRACTORY,open,open
9.142,562.96,1241.03,1783.08,20.9,REFRACTORY,open,
9.192,735.89,1130.47,1947.79,37.0,REFRACTORY,open,
9.228,643.78,1048.61,1687.32,45.0,REFRACTORY,open,
9.282,669.02,1062.58,1823.73,48.0,REFRACTORY,open,
9.327,652.18,1084.39,2160.15,48.8,REFRACTORY,open,
9.374,672.29,1126.64,2318.07,47.7,REFRACTORY,open,
9.420,760.29,1220.24,2372.63,45.3,REFRACTORY,open,
9.467,671.72,1247.19,2083.23,47.3,REFRACTORY,open,
9.518,822.90,1197.23,1957.74,46.5,REFRACTORY,open,
9.563,678.08,1173.19,1935.12,46.2,REFRACTORY,open,
9.608,838.53,1139.29,1899.94,42.6,REFRACTORY,open,
9.655,716.49,1123.26,1931.64,40.8,REFRACTORY,open,
9.707,886.96,1143.82,2112.25,34.6,REFRACTORY,open,
9.744,784.16,1080.11,2154.79,34.7,REFRACTORY,open,
9.801,868.79,1131.81,2223.23,29.4,REFRACTORY,open,
9.848,785.14,1127.29,2288.32,25.3,REFRACTORY,open,
9.891,804.22,1105.06,2379.47,22.3,REFRACTORY,open,
9.936,844.00,1219.75,2457.11,24.2,REFRACTORY,open,
9.984,744.73,1221.18,2530.67,23.4,REFRACTORY,open,
10.033,871.85,1298.84,2576.30,23.8,REFRACTORY,open,
10.079,675.52,1354.13,2615.29,19.7,REFRACTORY,open,
10.127,828.26,1351.65,2636.55,20.6,REFRACTORY,open,
10.176,631.34,1308.18,2664.35,19.0,REFRACTORY,open,
10.220,802.68,1323.22,2671.26,19.7,REFRACTORY,open,
10.264,539.44,1325.84,2685.88,14.8,REFRACTORY,open,
10.312,736.89,1318.18,2710.22,15.5,REFRACTORY,open,
10.359,624.63,1335.97,2747.65,14.0,REFRACTORY,open,
10.405,689.53,1327.07,2784.05,13.5,REFRACTORY,open,
10.451,698.14,1371.00,2831.57,9.9,REFRACTORY,open,
10.502,629.13,1415.87,2889.06,8.9,REFRACTORY,open,
10.546,694.65,1468.68,2959.75,5.2,REFRACTORY,open,
10.594,576.03,1510.98,3011.70,5.1,REFRACTORY,open,
10.640,738.19,3015.77,3069.72,4.5,REFRACTORY,open,
10.688,556.09,2990.58,3126.87,4.3,REFRACTORY,open,
10.735,738.65,2990.33,3181.80,3.9,REFRACTORY,open,
10.777,504.07,2947.38,3215.39,5.7,IDLE,open,
10.832,705.49,2880.64,3253.78,5.5,IDLE,open,
10.876,469.11,2783.73,3280.95,7.5,IDLE,open,
10.920,659.23,2682.92,3299.66,7.5,IDLE,open,
10.966,589.91,2586.78,3302.59,8.9,IDLE,open,
11.016,601.24,2504.48,3306.21,7.5,IDLE,open,
11.058,643.18,2453.95,3291.59,10.0,IDLE,open,
11.106,558.03,2487.88,3276.86,8.4,IDLE,open,
11.157,676.84,2744.17,3263.83,8.1,IDLE,open,
11.202,535.90,2947.62,3255.33,6.2,IDLE,open,
11.249,691.44,2973.49,3237.86,9.3,IDLE,open,
11.296,526.85,2977.25,3235.21,5.7,IDLE,open,
11.344,677.32,2973.85,3232.20,6.8,IDLE,open,
11.389,466.74,2974.28,3233.73,6.5,IDLE,open,
11.438,648.06,2965.76,3238.72,6.8,IDLE,open,
11.488,536.77,2932.79,3231.90,11.3,IDLE,open,
11.532,647.97,2912.78,3227.79,7.8,IDLE,open,
11.579,587.57,2886.77,3238.68,6.7,IDLE,open,
11.625,586.46,2872.77,3250.44,4.7,IDLE,open,
11.676,633.31,2859.82,3263.75,4.3,IDLE,open,
11.713,518.99,2843.02,3261.48,8.4,IDLE,open,
11.769,663.63,2839.49,3252.91,9.9,IDLE,open,
11.808,514.44,2832.79,3255.55,4.8,IDLE,open,
11.862,675.56,2806.41,3245.91,10.6,IDLE,open,
11.909,507.75,2832.84,3223.16,12.6,IDLE,open,
11.947,641.83,2807.87,3210.83,10.4,IDLE,open,
12.001,516.18,2802.44,3207.37,11.7,IDLE,open,
12.046,634.35,2796.65,3200.17,9.9,IDLE,open,
12.094,572.67,2812.28,3187.66,10.3,IDLE,open,
12.144,631.71,2812.42,3176.49,6.5,IDLE,open,
12.185,641.45,2820.30,3170.22,6.6,IDLE,open,
12.235,568.81,2812.97,3181.82,6.7,IDLE,open,
12.275,671.49,2821.11,3188.11,8.3,IDLE,open,
12.330,523.31,2814.61,3174.74,8.4,IDLE,open,
12.370,678.07,2813.66,3184.14,7.0,IDLE,open,
12.422,499.67,2810.55,3200.54,8.7,IDLE,open,
12.464,650.38,2787.93,3203.58,9.9,IDLE,open,
12.518,586.67,2890.06,1551.27,111.8,PULSE,open,
12.557,876.56,2637.13,2053.87,294.6,PULSE,open,
12.611,702.59,2104.90,815.28,136.8,PULSE,open,
12.650,987.25,2120.75,755.57,118.8,PULSE,open,
12.706,891.82,2205.50,681.15,126.5,PULSE,open,
12.746,903.34,1991.57,683.26,131.4,PULSE,open,
12.805,817.37,1994.08,577.15,114.8,PULSE,open,
12.845,921.53,1777.91,547.17,102.7,PULSE,open,
12.887,837.85,1555.95,726.29,85.8,PULSE,open,
12.941,812.49,1050.88,853.38,45.1,PULSE,open,
12.984,754.32,1178.52,1139.85,13.6,REFRACTORY,open,open
13.032,734.60,1251.69,2208.40,4.7,REFRACTORY,open,
13.073,758.61,1315.02,1942.21,5.7,REFRACTORY,open,
13.129,687.16,1341.67,2071.44,3.6,REFRACTORY,open,
13.169,824.11,1372.54,2520.48,3.8,REFRACTORY,open,
13.220,672.22,1371.75,2801.75,8.1,REFRACTORY,open,
13.262,829.12,1328.89,2952.83,11.9,REFRACTORY,open,
13.316,657.09,1258.53,3143.94,19.4,REFRACTORY,open,
13.354,815.82,1124.78,3233.32,24.7,REFRACTORY,open,
13.407,660.73,1109.61,2805.85,31.4,REFRACTORY,open,
13.456,828.95,1071.11,2587.74,37.1,REFRACTORY,open,
13.500,688.91,979.38,2450.54,39.2,REFRACTORY,open,
13.546,790.56,993.18,2353.01,41.8,REFRACTORY,open,
13.593,752.45,1073.40,2296.81,37.1,REFRACTORY,open,
13.644,743.34,1067.27,2259.95,31.8,REFRACTORY,open,
13.751,782.98,1038.65,2281.54,20.2,REFRACTORY,open,
13.795,740.69,1157.71,2338.10,13.0,REFRACTORY,open,
13.844,711.67,1183.07,2478.52,7.0,REFRACTORY,open,
13.889,777.17,1277.42,2635.07,5.2,REFRACTORY,open,
13.937,668.44,1318.37,2796.26,9.2,REFRACTORY,open,
13.981,820.96,1319.48,2884.13,15.7,REFRACTORY,open,
14.032,624.97,1321.61,2841.94,24.0,REFRACTORY,open,
14.078,816.57,1283.10,2533.34,33.0,REFRACTORY,open,
14.123,552.27,1216.15,2390.24,39.2,REFRACTORY,open,
14.169,778.25,1147.34,2209.06,43.0,REFRACTORY,open,
14.216,753.33,1093.31,2032.93,49.9,REFRACTORY,open,
14.264,757.17,1093.37,1966.81,51.9,REFRACTORY,open,
14.309,821.27,1186.26,1933.00,50.8,REFRACTORY,open,
14.360,738.95,1221.66,1880.08,50.0,REFRACTORY,open,
14.405,858.08,1214.16,1835.73,46.0,REFRACTORY,open,
14.449,682.67,1338.45,1816.77,43.9,REFRACTORY,open,
14.497,869.86,3037.25,1823.53,44.2,REFRACTORY,open,
14.543,681.84,3222.33,1872.66,41.3,REFRACTORY,open,
14.592,867.32,2942.15,1993.34,38.2,REFRACTORY,open,
14.638,603.57,2840.17,2087.54,37.1,REFRACTORY,open,
14.693,849.61,2728.53,2182.33,39.0,REFRACTORY,open,
