t_s,dtw_relaxed,dtw_close,env,fsm,gripper,fired
0.466,557.96,2494.80,64.4,PULSE,open,
0.518,605.65,2492.79,62.9,PULSE,open,
0.551,611.02,2472.89,64.9,PULSE,open,
0.583,599.40,2423.46,64.9,PULSE,open,
0.630,675.70,2460.23,64.3,PULSE,open,
0.671,669.36,2490.13,64.3,PULSE,open,
0.721,721.86,2485.75,68.0,PULSE,open,
0.758,728.21,2471.21,69.6,PULSE,open,
0.806,758.25,2471.54,69.0,PULSE,open,
0.859,789.00,2472.93,68.2,PULSE,open,
0.901,809.19,2465.09,69.9,PULSE,open,
0.947,849.95,2452.05,69.7,PULSE,open,
0.994,828.48,2428.98,69.9,PULSE,open,
1.042,917.97,2445.89,71.2,PULSE,open,
1.095,913.74,2444.82,71.7,PULSE,open,
1.146,979.97,2439.14,72.0,PULSE,open,
1.190,975.47,2500.12,71.2,PULSE,open,
1.238,1038.69,2519.95,69.0,PULSE,open,
1.278,1033.78,2532.61,68.9,PULSE,open,
1.321,1051.68,2543.37,66.5,PULSE,open,
1.372,1082.25,2560.72,66.6,PULSE,open,
1.416,1088.19,2548.23,64.2,PULSE,open,
1.471,1130.48,2561.51,63.6,PULSE,open,
1.515,1135.60,2546.18,63.4,PULSE,open,
1.631,1212.83,2591.91,63.7,PULSE,open,
