t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.393,327.90,3531.47,2001.88,7.2,IDLE,open,
0.440,320.25,3525.29,1995.29,7.6,IDLE,open,
0.469,326.72,3522.61,1992.23,4.9,IDLE,open,
0.514,310.48,3479.57,1984.57,8.7,IDLE,open,
0.561,316.72,3474.07,1977.65,7.1,IDLE,open,
0.606,302.33,3475.56,1970.46,7.9,IDLE,open,
0.660,310.03,3461.25,1963.42,6.0,IDLE,open,
0.700,292.53,3441.35,1955.61,10.1,IDLE,open,
0.748,305.31,3411.67,1947.68,8.2,IDLE,open,
0.795,285.99,3399.98,1937.65,9.4,IDLE,open,
0.840,296.39,3405.98,1932.16,8.1,IDLE,open,
0.888,290.15,3431.57,1925.20,8.9,IDLE,open,
0.935,275.03,3369.62,1902.28,10.1,IDLE,open,
0.983,279.72,3364.75,1893.92,10.5,IDLE,open,
1.028,268.44,3374.96,1895.62,10.5,IDLE,open,
1.075,259.86,3368.34,1888.91,6.5,IDLE,open,
1.121,255.88,3356.20,1874.94,6.8,IDLE,open,
1.167,251.36,3348.21,1867.94,6.3,IDLE,open,
1.216,255.81,3326.85,1852.91,7.8,IDLE,open,
1.262,253.09,3317.21,1845.36,6.3,IDLE,open,
1.310,250.80,3314.30,1839.28,8.3,IDLE,open,
1.355,249.29,3328.91,1848.60,6.0,IDLE,open,
1.404,246.90,3318.90,1844.77,5.8,IDLE,open,
1.450,242.79,3317.19,1840.35,4.9,IDLE,open,
1.497,249.95,3301.85,1831.06,5.2,IDLE,open,
1.544,237.15,3300.61,1826.34,5.6,IDLE,open,
1.590,244.04,3295.33,1819.67,7.0,IDLE,open,
1.637,239.41,3297.32,1816.51,8.5,IDLE,open,
1.683,233.40,3290.52,1809.64,7.3,IDLE,open,
1.731,229.05,3282.42,1801.27,7.8,IDLE,open,
1.791,230.68,3278.85,1793.68,6.1,IDLE,open,
1.822,227.01,3251.96,1783.44,6.4,IDLE,open,
1.872,225.80,3246.29,1780.08,6.7,IDLE,open,
1.917,222.62,3246.00,1771.44,7.4,IDLE,open,
1.965,225.84,3251.13,1770.62,7.7,IDLE,open,
2.012,225.78,3239.45,1764.87,7.5,IDLE,open,
2.107,222.93,3219.33,1756.10,9.0,IDLE,open,
2.168,208.96,3237.34,1754.42,9.2,IDLE,open,
2.200,206.12,3238.41,1756.34,5.9,IDLE,open,
2.260,186.06,3230.54,1760.70,4.7,IDLE,open,
2.308,211.27,3236.92,1765.75,3.9,IDLE,open,
2.353,194.07,3235.73,1748.59,9.3,IDLE,open,
2.402,211.22,2961.34,1506.53,18.8,IDLE,open,
2.463,199.92,2824.24,1307.98,30.3,IDLE,open,
2.527,241.50,2730.43,1302.77,43.4,PULSE,open,
2.572,236.46,2690.11,1308.79,51.6,PULSE,open,
2.621,297.95,2653.99,1321.60,59.9,PULSE,open,
2.666,284.89,2626.62,1329.76,67.1,PULSE,open,
2.718,358.58,2617.94,1361.82,73.7,PULSE,open,
2.761,356.17,2624.28,1391.21,77.2,PULSE,open,
2.805,392.21,2638.91,1430.82,79.8,PULSE,open,
2.855,415.87,2641.32,1467.61,79.5,PULSE,open,
2.899,433.64,2618.94,1504.12,76.8,PULSE,open,
2.948,456.47,2588.92,1524.20,72.1,PULSE,open,
2.993,469.14,2550.89,1541.53,68.9,PULSE,open,
3.042,491.14,2492.33,1451.35,61.9,PULSE,open,
3.089,491.72,2444.59,1305.51,53.8,PULSE,open,
3.134,510.58,2401.39,1195.60,46.7,PULSE,open,
3.168,508.15,2402.80,1149.92,42.2,PULSE,open,
3.228,514.98,2348.92,1080.65,32.2,PULSE,open,
3.260,503.13,2362.41,1078.72,26.8,PULSE,open,
3.322,476.75,2316.72,1084.32,14.0,REFRACTORY,open,
3.369,473.79,2324.36,1097.68,6.3,REFRACTORY,open,
3.416,458.89,2330.25,1110.49,4.7,REFRACTORY,open,
3.461,466.40,2327.57,1118.48,12.4,REFRACTORY,open,
3.495,475.84,2276.65,1126.02,15.3,REFRACTORY,open,
3.555,477.62,2300.07,1127.37,26.7,REFRACTORY,open,
3.603,501.57,2312.37,1106.11,35.2,REFRACTORY,open,
3.649,510.48,2326.95,1119.14,45.2,REFRACTORY,open,
3.695,528.16,2358.63,1133.87,53.2,REFRACTORY,open,
3.745,549.72,2388.61,1154.10,58.3,REFRACTORY,open,
3.791,568.93,2430.37,1180.74,64.0,REFRACTORY,open,
3.822,585.71,2493.71,1165.89,65.1,REFRACTORY,open,
