t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.392,326.69,3092.65,1684.77,19.9,IDLE,open,
0.438,342.50,3076.47,1670.82,22.7,IDLE,open,
0.467,350.72,3074.97,1655.45,22.2,IDLE,open,
0.512,330.70,3081.09,1659.07,22.9,IDLE,open,
0.557,354.79,3064.79,1630.88,24.3,IDLE,open,
0.604,336.34,3046.24,1622.43,22.5,IDLE,open,
0.654,352.39,3031.34,1616.23,21.1,IDLE,open,
0.698,340.12,3028.30,1609.31,21.4,IDLE,open,
0.743,346.31,3020.76,1601.61,21.5,IDLE,open,
0.793,341.93,3015.05,1591.50,22.4,IDLE,open,
0.839,339.80,3005.25,1579.15,24.0,IDLE,open,
0.884,344.91,3001.11,1570.06,22.3,IDLE,open,
0.931,344.84,3000.40,1562.46,22.9,IDLE,open,
0.977,354.23,2990.75,1556.23,21.0,IDLE,open,
1.024,334.61,2977.74,1550.49,19.5,IDLE,open,
1.072,330.43,2964.73,1540.71,15.6,IDLE,open,
1.122,298.22,2960.73,1542.03,12.1,IDLE,open,
1.170,295.07,2956.78,1545.05,10.2,IDLE,open,
1.215,286.12,2954.15,1551.11,9.9,IDLE,open,
1.262,285.76,2946.92,1553.80,12.5,IDLE,open,
1.314,279.51,2938.82,1557.42,9.8,IDLE,open,
1.357,269.04,2941.18,1568.38,10.1,IDLE,open,
1.403,268.63,2941.63,1576.03,6.6,IDLE,open,
1.449,262.43,2938.05,1580.96,7.0,IDLE,open,
1.498,262.81,2933.36,1586.81,6.8,IDLE,open,
1.541,267.45,2929.42,1591.39,7.6,IDLE,open,
1.586,258.34,2915.89,1593.03,7.9,IDLE,open,
1.640,251.34,2906.86,1595.19,9.5,IDLE,open,
1.683,242.22,2891.97,1591.77,11.2,IDLE,open,
1.790,237.01,2880.10,1589.34,11.3,IDLE,open,
